白葱 1/2~1本
絹さや １０枚～
細めのアスパラ 10本
セロリ 大1本
全粒粉 50ｇ
鶏ささみ 3本
じゃがいも 1つ
なす １本
スパゲティサラダ(残り） 適量
春キャベツ ５～６枚
水 200㏄
だし汁 ５０ｃｃ
ドライイースト 小匙１
人参 1本
☆しょうゆ 大さじ３
★片栗粉 大１
じゃが芋 1個
上白糖 １ｋｇ
　薄力粉 ３０ｇ
●マヨネーズ 大さじ４
にんにく 1かけ
絹豆腐 150g
卵 １個
薄力粉 40ｇ
生姜 お好みで
海老 ４〜６個
ベーコン(又はハム) ２枚
なめたけ すきなだけ
卵 2個
キャベツ 好きなだけ
トマト 小さめ１個
強力粉 20g
　○さつま芋 500g
あさり 約250ｇ
薄力粉 68g
ドライイースト ２ｇ
粉寒天 2ｇ
マーガリン 適量
にんじん（小） １本
たまご １こ
しょう油 ５０ｃｃ
海苔 1/2枚位
☆重曹 小１/２
たまご １こ
☆たまねぎ（みじん切り） 2分の１個
人参 中　３本
ゆでもやし １袋分
牛乳 250ｃｃ
味付けのり 20枚くらい
砂糖 ７０ｇ
人参 1/4本
ごはん お好きなだけ
水 ２５０ｃｃ
粉寒天 4g
干し貝柱 10こ
塩・コショウ 少々
ペンネ １５０〜２００グラム
きゅうり 中１本
玉ねぎ 1/4個
たまご １こ
目・触角（？） かにかまの赤い部分
ニンニク １カケ
砂糖 ６０ｇ
砂糖 大さじ７（好みで）
生クリーム １４０グラム
いりごま たっぷり
白滝 1パック(量はお好みで)
水 150cc
麺つゆ（３倍濃縮使用） ５０ｃｃ
卵 2個
ラム酒系など（あれば） 小さじ　1
梅干し ３個（15～20ｇくらいかな）
塩 少々
大根 1/2本
きゅうり １/２本
★強力粉 ７０ｇ
モッツアレラチーズ 1袋
クリームチーズ 50g
アーモンドプードル 30ｇ
キューリ ５cm
きのこ類(今回は椎茸と本しめじ) ２００ｇ
牛乳 大さじ４
砂糖 大さじ２.５
牛しゃぶしゃぶ用 ２５０ｇ
豆腐 半丁
強力粉（薄力粉可） 40グラム
ヨーグルト（プレーン） ２５０ｇ
マヨネーズ 適量
ポン酢 大さじ4
　クリームチーズ 70g
新玉ねぎ（もちろん普通の玉ねぎでも！） 1/4個
米粉（なければ片栗粉） ５０ｃｃ
玉ねぎ 1/6個
もち粉 ５０ｇ
メープルシロップ 大さじ１/２～１
乾燥わかめ 大盛り大さじ１（5ｇ）
砂糖 大１
玉葱 1個
にんじん 1/2本
レタス 8枚
キャンディーチーズ １〜２個
新タマネギ 50ｇ
●蜂蜜 １５ｇ
ブロッコリー 1株
ご飯（炊いたもの） 軽く２人分
りんご 1/2個
牛乳 200cc
りんご 半分
なす 一本
砂糖 一つまみ
唐揚粉 適量
きゅうり 1/3
砂糖 30グラム
白菜 ４枚
にんにく １片
★ホウレン草 60ｇ
さばの水煮缶 1つ
キャベツ 4分の1個
無塩発酵バター（無塩バターでもOK） 50g
茹でタケノコ 50ｇ
ニンニクパウダー 小1強
☆板チョコ 1枚
コンニャク １丁
★ベーキングパウダー 小さじ１と１/２
砂糖 80ｇ
揚げ油 適量
豚バラスライス 約200グラム
玉ねぎ １個
ローズマリーなど 適宜
◎まろやか昆布茶 少々
醤油 大さじ２
雪印クリームチーズ ５０ｇ
生クリーム 150cc
れんこん １００ｇ
牛乳 ２００㏄ 
黒蜜 すきなだけ
玉ねぎ 2個
ポン酢… 大さじ１〜
納豆(タレも) １パック
大根 ２５０ｇ
■酒 大さじ1
イースト 4ｇ
酒 大さじ１
ドライイースト 小2
砂糖 50グラム
サラダ油 大さじ１
強力粉(道春) (50%)100g
グラニュー糖 60ｇ
豚バラ肉（薄切り） 200ｇ
ベーコン ３枚
竹串 １本
有機ココア １０ｇ
アスパラ 3本
生わかめ 適量
たまねぎ ３分の２個
カニカマ 一本　
粉ゼラチン 10ｇ
塩こしょう 少々
顆粒だし 小さじ１
玉ねぎ 半個
みりん 大さじ2
ミョウガ 1パック
新鮮卵 １個
納豆 1パック
天カス ひとつまみ
たけのこ 1本（300ｇ）
鶏肉（ささみ使用） ３本
ジャム 200g
すりごま(白) 大さじ1
バター 15~20g
水 20グラム
フラワッチのピンクご飯 米１合に赤の食紅少々
砂糖 ４５ｇ
＊海老 ７〜８匹
ホワンミー総合調味料（たまねぎの味付け用） 小さじ1
揚げずに唐揚げ 2袋
塩胡椒 適量
酢 大さじ1
醤油 大さじ1
ウインナー ３本(好きな量)
いちご ５０ｇ
水 カップ4
オクラ ５本
カレー粉 おおさじ２
○醤油 大さじ１
豚ももスライス 6枚
黒or白胡椒 少々
冷凍えび 10ｺくらい
国産強力粉 150g
だしの素(顆粒)　 1/4
トマトソース 200g
塩ｺｼｮｳ 適量　
天然酵母液（レシピID：1092675） 50cc×3
砂糖 50g
プチトマト 3個
アーモンドプードル ２０ｇ
○ツナ缶(ﾉﾝｵｲﾙかﾊｰﾌ) １缶
ブラン（小麦ふすま） 　35ｇ
いり胡麻 大2
フライドオニオン 10ｇ
さとう 大さじ1
短冊あげ 1/2
■玉ねぎ 2個
☆長いも（すりおろし） ８ｃｍほど
はんぺん 1枚
豚肉（しゃぶしゃぶ用） １８０g
殻付きあさり 200g(1パック)
醤油 50cc
玉子 お好きなだけ
もやし １袋
ハム（ベーコン・ウィンナー・豚肉、何でも） 5〜6枚
めんたいこ 1/2本
しお 約ふたつまみ
卵 １個
キャベツ　（２ｃｍ角ほどにカットしたもの） ひとつかみ分くらい
砂糖 60g
人参、たまねぎ、ピーマンなど 好きなだけ
ごはん １膳分
ネギ 一面にまんべんなくかかるくらい
天ぷら粉 適量(薄め)
魚の煮汁 500cc程度
水 1000㏄
バター 50g
ニラ 5本
納豆 １パック(50g)
酒 300cc
塩辛 大１くらい（お好みで）
マヨネーズ 大3
れんこん ６ｃｍ
薄揚げ 1枚
マヨネーズ（ノーマルタイプの物） 大さじ１
冷凍かにフレークもしくは、かに缶 かに缶なら１缶・かにフレークなら１００ｇ
キャベツ １/２玉
●白味噌 小匙１
ベーコン 1枚
マヨネーズ 大さじ4
新生姜 1欠片
油揚げ 4枚
長ネギ １本
玉ねぎ １玉
長ネギ（みじん切り） １／４本
バニラビーンズ １/２本
牛乳 ８０ｍｌ
ピーマン 1個
にんじん 1/2(中サイズ)
ベビーホタテ 100ｇ
片栗粉 お好み量
白ワイン（なければ日本酒でも） 大さじ１
にんにく 一かけ
小麦粉 適量
牛乳 大２
●BP 3g
だし汁 1.5リットル
マーガリン 30ｇ
アスパラ ２本
ツナ １缶
ココア ２０グラム
ストロー 1本
大葉 約20枚
人参 半分
無脂肪練乳（コンデンスミルク） 70ｇ
にんじん 小1本
フルーツ缶 適量
水 １０００ｃｃ
ホタテ ２００ｇ位
マヨネーズ（味の素ピュアセレクトのカロリーハーフタイプ使用） 少し多目の大さじ１
酒 大さじ１
塩 小さじ１/２
なす １個
ウインナー ４本程度
砂糖 大さじ１
ベーキングパウダー 小1
えのき 40g
カレー粉 大さじ１
ゴルゴンゾーラ 約50ｇ
ブロッコリー 中1房
玉ねぎ 中1/2個
★にんにく 1かけ
★三温糖 大さじ３
刺身のつま 適宜
春キャベツ 2～3枚
たまねぎ 1/8個
コーンスターチ 大さじ１
ラムレーズン 大さじ2
エリンギ １／２パック
たまねぎ 小玉の1/8
蟹肉 約80ｇ
油揚げ 4枚
青森産にんにく 1玉
下味用　ガーリックパウダー・塩 少々
○ベーキングパウダー 小さじ１
おから ５０ｇ
卵 1個
赤だし味噌 大さじ１
玉ねぎ １／３
こんにゃく（あく抜き済み） 1袋（200ｇ程）
お好みのビスケットやクッキー お好み量
カマンベールチーズ １００ｇ
水 大さじ４
納豆 1パック
牛乳 コップ半分
玉ねぎ 2/1個
お好きなドレッシング（今回はフレンチドレッシング） 適量
ベービーダノン（プレーン） １個
●ヨーグルト 160ｇ
卵黄 ３個
☆ｴﾊﾞﾗ黄金の味 大さじ3
キャベツ ２００ｇ
塩 ふたつまみ
チーズ（スライスチーズ） 54g（3枚）
たまねぎ ２個
↑又は生ひじき 工程６を参照
ベーキングパウダー 小さじ1
キャベツ 1/2
パスタソース(市販物) ４５０～５００ｇ
牛乳 250ｇ
明太子（冷凍がオススメ） ３分の１腹（３ｃｍくらい）
酒 適量
◎胡麻油 小匙２
卵黄 １個
シーフードミックス 300g～350g
きんぴらごぼう 好きなだけ
豚バラ肉 50ｇ
長芋 ５センチぐらい～
濃い口醤油 ２０ｇ
塩・砂糖 各小さじ２
油揚げ 3枚
ツナ缶 1缶
ネギ 2本
★玉ねぎ 中1/2個
厚揚げ 2つ入りのものを1つ分
のらぼう菜 ２本
マヨネ−ズ ぐるっと３周
明治チューブでクッキング 適量
アボカド 1個
ツナ缶 1缶
スライスハムorツナ缶ノンオイル ８０ｇ
塩 適宜
★シメジ 1パック
ベーコン 4枚
○カリフラワー 100g位
米 ３合
ゆで玉子 2個
豆腐 1/2丁
シソ 6枚
鶏皮 1枚
明太子 １腹
もやし １袋
アンチョビ 4枚
青のり 小さじ１
赤パプリカ １個
塩胡椒 少々
うすあげ 2分の1
●マヨネーズ 大さじ１
玉ねぎ 一個
薄力粉 １２０ｇ
全粒粉 ２５ｇ
人参 1/3本
パプリカ 1/2
はごろもシーチキン缶 水煮またはスープ煮１缶
甘栗 100g
酒 大２
玉葱 １／４個
豆乳シチューの具 お好みで
豚肉 100g
○にら 2分の1束
薄力粉 100ｇ
ほうれん草 3束
長ねぎ 1本
にんにく 1片
玉ねぎ 1/2個
バター 20g
とろけるチーズ １枚
砂糖 ３０ｇ
煮きりみりん 50ｃｃ
　生クリーム １５ｇ
砂糖 ３０ｇ
キムチ 適宜
タルト台 お好きなので・・・
ニンジン 1/2本
玉ねぎ 1個
ブラウンシュガー（上白糖でもＯＫ） 1/2カップ～１カップ（好みで）
もめん豆腐 半丁
卵 １個
マヨネーズ 適量
たまねぎ 1/2玉
水 ７
ラディッキオ／トレビス 100g
玉葱 １個
しおコショウ 適量
薄力粉 適宜
ごま油 少々
しめじ １袋
クリームチーズ ５０グラム～
もやし １袋
しめじ 1株
わかめ 適量
黒砂糖（粉末） 30g
キムチ 適量
ごはん お好きな量
水 ４００ｃｃ
鶏皮 １枚
スキムミルク 大さじ１～
ごま油 小さじ1弱
こんにゃく 適量
にんじん １本
根ショウガ ひとかけ
もち米 ２合
茄子 中二本
溶けるチーズ（シュレッドタイプ） （1本につき）大さじ1くらい
100％グレープジュース コップ半分
菜の花 好きなだけ
牛乳 100cc
ブロッコリー 太い部分の芯も含め 1/2玉
ネギ 2本
ササミ ３本
コンソメ 小１/２～１
とりミンチｏｒ鳥むね １/２枚ほど
明太子 小さじ１くらい（好きなだけ）
酢 (適宜)
にんじん １本
特選 丸大豆しょうゆ　750ml 大1/2
砂糖 70g
ヒレ肉 半分
ウインナー 4～5本
砂糖 ７０グラム
キムチ 好きなだけ
揚げ玉 ２０g
　　　　大根 ５ｃｍ
にんにく ３～４かけら
ごぼう １本
新じゃがいも 小３個
セロリ 1/4本
塩 少々
チーズ（上にかける用） 適宜（好み）
マーガリン ２０ｇ
バター ひとかけ
パイナップル（生） 150g
砂糖 大さじ３
ベーキングパウダー 小さじ1
ごま油 400ml
砂糖（いちごの1/4の量で計算） 100ｇ
紫イモパウダー 大さじ3
玉葱 中の1/4
∟レモン汁 少々
○牛乳（豆乳でもOK) ７００cc
わかめ 20ｇ
ブラックタイガー（海老） 12～１６匹ぐらい
にんにく １片
抹茶 大さじ１
春キャベツ 2〜3枚
豆腐 １５０ｇ
玉ねぎ 半分
塩コショウ 少々
●ベーキングパウダー 大さじ１  
●もやし お好みの量
粉糖 20ｇ
にんにく 2かけ
キャベツ １5０ｇ
生クリーム 200g
ベーコン １枚
ウィンナー 5本
Ａ　チョコレート ２５ｇ
鶏スープ　レシピID :1094702の茹で汁 360ｃｃ
★しめじ 適量
かにかま 3本くらい
生卵 １個
スパイス 少々
ごま油 大さじ１
ウインナー ３本
分葱 50g
水 600ｃｃ
★カレー粉（粉状ルー使用） 小1さじ程度
じゃがいも 2個
塩 適量
ピーマン ３コ
砂糖 30ｇ
水 60cc
ニンジン 中程度　半分
ままかり 適量
グラニュー糖 ８０～１００㌘
醤油 125ｃｃ（1/2C)
◆砂糖 50g
　酒 大さじ１
マーガリン（バター） 50g
ロースハム ４枚
ポン酢 大さじ２
キムチ鍋の素 180cc
塩こしょう 少々
チーズ 約４分の１枚
めんつゆ 適量
冷凍ｴﾋﾞ ７尾
にんじん 一本
(お好みの…) 大匙２
玉葱 2個
大豆の水煮 １袋（１４０g）
じゃこ 大さじ山盛り3
※しょうが焼用のお肉でも可（２枚重ねで） 16枚
ﾎｯﾄｹｰｷﾐｯｸｽ 120ｇ
重曹 小さじ１
☆ゆかりのふりかけ お好み
マヨネーズ おおさじ１～２
エビ １５匹(好きなだけ)
塩 少々
はったい粉 10g
オリーブオイル 大匙1
砂糖 60g(40g)
ほうれん草 １袋
黒胡椒 お好みで
エリンギ 1袋
ほうれん草 適量
砂糖 大さじ1
☆生クリーム １００ｃｃ
レタス １枚
鶏もも肉 100g〜150g
貝割れ大根 3分の1パック
a.みりん 適量
きゅうり 1本
★味噌 大さじ１
マーガリン 50g
生クリーム 40g（40cc）
ベーコン ３～４枚（適量）
アスパラガス ７～８本
牛乳 100cc
●味噌 70～75g
パイナップル １缶
きのこ 好きなだけ(今回はえのき、しめじ、エリンギ)
サヤインゲン 10～１５枚
 大さじ3〜
塩 軽く
お湯 コップ１杯位
たまご １個
●しめじ 1/2パック
●えび 10匹
生姜 2㎝×2㎝位～
ちくわ １本
アボカド 1個
玉ねぎ １／２コ
すり胡麻 小さじ１
〇ほぐした明太子 大さじ１
ベビーリーフ 1パック
梅干し 5個
玉ねぎ 1/2個
粉糖 60g
じゃがいも 約中２個
大根 ５ｃｍ
(a)ベーキングパウダー １０ｇ
いんげん ﾛﾝｸﾞ4本
水 200cc
れんこん １００ｇ
ネギ 13～15㎝くらい
クレソンの茎 適量
醤油 少々
新たまねぎ 1個
レーズン お好みの量(私は20粒くらい)
生クリーム １００ｇ
バター 適量
リアルマヨネーズ(なければ普通のマヨ) 大さじ２
レタス 適量
白菜 大2枚
カレー 好きなだけ
 1ﾊﾟｯｸ分
しば漬 1袋（70グラム）
水 800ｃｃ
ホールトマト 缶半分
ベーキングパウダー 小さじ１／２
豚こまぎれ肉 100g
マーガリン 大さじ1
A白ワイン(酒でも可） 大さじ2
玉葱/人参 1本
じゃがいも 5個
卵白 4個
ごぼう 1本
クレイジーソルト 適量
かにかま ２本
じゃがいも 大1/2
片栗粉 大1
マヨネーズ 少々
乾燥わかめ 軽く２つかみ
アスパラ 一束
ホイップクリーム 適量
キャベツ 1/6個
片栗粉 30g
塩                                 小さじ　1/2
・無塩バター 40ｇ（63g）
菜花 一掴み
牛乳 250ｃｃ
玉ねぎ 半分
バター お好きなだけ
瓶詰めのらっきょうの残りの汁 残った分全部（適量）
小麦粉 大さじ2～３杯
新たまねぎ 小１個
●卵 １個
粉チーズ 小さじ２
☆バター 10～20g
小麦粉 大さじ３
砂糖 小さじ1/2～1
玉ねぎ（すりおろし） 大さじ1
亜麻の実/フラックスシード（粉末） 大さじ1
醤油 大さじ２
ちりめんじゃこ 大さじ２
ツナ 小さじ2
生クリーム 100cc
マーガリン（普通の有塩） 50ｇ
ドライイースト ４グラム
卵 3個
豚肉(ひき肉じゃなくても) 100g
黒すりごま 大さじ2
のり 適量
・木綿豆腐 1/2丁
ジャガイモ 大2個
ピーマン ３～４個
ポテトチップス 50g前後
アサリ 8個くらい
ご飯 お好きな分量
サラダ油 ３０ｃｃ
※卵白 1個分
玉ねぎ 1個
ササミ 10本
ミックスベジタブル 30g
ご飯 １食分
ベーキングパウダー ２ｇ
○人参(千切り) 1本分
メープルシロップ 適量
玉ねぎ 半分
殻付きあさり ２００ｇ
新じゃが ３個
豚肉 100グラム
納豆 2パック
人参 1本
人参 1本
卵 ２個
塩 小さじ1/2
A：砂糖 少々
◎砂糖 小さじ1
梅干し 3個
カレー粉（市販） １００グラム（１箱の約半分）
海苔 1と1/3枚
マヨネーズ 40グラム
アサリ 10個程度
中力粉 300g
大根 10センチ位
ホットサンド用パン 4枚
もやし 1/3袋
☆パン粉 1カップ
にんじん １／２本
水 ４カップ
ウェイパー、 大１弱
☆卵 2個
玉ねぎ 1/2〜1個
★BP 小さじ１
海老（むきえびでもＯＫ） １００ｇくらい
●キャベツ １枚
舞茸 １／２房
卵 １～2個（お好みで）
わかめ（水でもどしたもの） １５０ｇ
ホットケーキミックス ２００ｇ
全粒粉 １２５ｇ
さつまあげ 1枚
クリームチーズ １００ｇ
玉ねぎ １００ｇ
牛（豚）しゃぶしゃぶ用肉 200g
鯛の身 余った分だけ!!　笑
水 １４０ｇ
納豆 ２パック
玉葱 １８０グラム（５９キロカロリー）
イースト １.５ｇ
さといも 400ｇ
砂糖 小匙1
レモン皮 1個分（なくても）
・スキムミルク ６ｇ
卵 2個
卵 2個
豆腐 100ｇ（1/3）
シロップ 砂糖＋お湯＋コアントロー少々
トマト 中3個
豚肉(薄切りor切り落とし) 150ｇ
絹ごし豆腐 ３００ｇ
たまご １こ
はちみつ 適量
ベーコン ４０ｇ
新玉ねぎ 1/2個
トマト・ピーマン 各２個
卵 ２個
春キャベツ 2～3枚
砂糖 ２５ｇ
アボカド 1/2
特選丸大豆しょうゆ 大さじ２
牛乳 180ｍｌ
塩 小匙1/2
クリームチーズ 30g
ココア ２０ｇ
玉ねぎ 大１個
長ネギ 15センチぐらい
牛乳 170ｍｌ
ハム 50gくらい
アボカド 半分
有塩バター 大さじ1.5ほど
グラニュー糖 90ｇ
グレープフルーツの絞り汁１/２個分＋オレンジジュース 250ｃｃ
きゅうり １本
鰹節 適量
玉ねぎ 小１個
グラニュー糖 120g
菜の花 ３分の１束
米 3合
バター 30ｇ
たけのこ 150ｇ
ふき ６０ｇ位
卵 1/2個
じゃがいも 2個
たまねぎ ２つ
にんにく ３片
豚小間 ５０ｇ
冷凍いかステーキ １５０グラム程度
砂糖 大2
☆砂糖 40g
水 約５リットル
さやいんげん １０個
米 ３合
オレンジ 半分
椎茸 2〜3個
アボカド 1個
雪印 クリームチーズ ５０ｇ
アスパラガス 3本
カニカマ １袋
　○酒 大さじ１／２
バター 50グラム
アスパラ 2本
明太子 １房～
白玉粉 １００ｇ
卵 ３コ
Aバター＆オリーブオイル 20ｇ
サツマイモ １５０ｇ
○青海苔 たっぷり
バナナ １本（皮つきで１５０ｇくらい）
砂糖 15ｇ
とりむね肉 ２枚
バナナ 1本
砂糖 大さじ1
無塩バター(小さく角切りにし、冷やしておく） 150g
レタス １～２枚
昆布 １０ｃｍ（乾燥時）
酒 １０g
はちみつ 大さじ2
Ａ砂糖 大さじ2
玉ねぎ 小1/4
無塩バター 75ｇ
豚ミンチ 100ｇ
こんにゃく １/３
あまったご飯 茶碗２～３杯
ホワイトアスパラガス 3本
生クリーム 600g
にんじん 1本
なす 1本
生クリーム 1パック（200ｍｌ）
はちみつ 大さじ１.３～１.５
ゆで卵 2個
ｺｰﾝｽﾀｰﾁ 40g
☆きんぴらごぼう(ﾚｼﾋﾟID:1095134) お玉に2〜3杯お好みで
にんにく ２かけ
・豆腐 半パック（１５０ｇくらい）
米味噌 お好みで塗ってください
酒 大さじ1
切り干し大根 （戻す前で）約１０グラム
アンチョビフィレ ４枚ほど小さく刻んでおきます。
キャベツ 1/6個
ボイルいか お好み（写真は５０ｇ）
ネギ ２本（増やしてもＯＫ）
たまねぎ（みじん切り） 1/2個
○セロリ １本
★塩 ひとつまみ
豚肉 １５０ｇ
●みそ 大2
こてっちゃん 1/2パック
☆ごま油 4g
砂糖 50ｇ
キムチ 適量
卵 １コ
キャベツ 2枚
新じゃがいも ３個
砂糖 60g
豚肉 ５０g位
ドライイースト ５㌘
豚ひき肉 ３００グラム
じゃがいも(※) 大１個
鶏モモ肉 １/２枚
トマト水煮缶 １缶
サツマイモ 1/2個
ドライイースト 4g
卵 1個
★なす 1本
のり 1枚
ハム 100ｇ
水 炊飯用カップ　2カップ
製菓用グラニュー糖 １００ｇ
きゅうり １本
塩 ひとつまみ
人参 ５０グラム
叉焼(チャーシュー) 120g位
●味噌 30g
人参 1本
にんにく １かけ
白米 １合
キムチ １００ｇ
砂糖 50ｇ
ﾍﾞｰｺﾝ ﾊｰﾌﾊﾟｯｸ１袋
砂糖 １４ｇ
片栗粉 大１〜１と半分
人参 ５０グラム
卵 3個
にんにく お好みで
むきえび 150g
牛乳 大さじ３
さとう ４０ｇ
★水 100cc
砂糖 20グラム
ツナ １缶
水 ７００ｃｃ
玉ねぎ 1/4個
水菜 1/3束
塩 適量
★バター 50g
市販のカレールウ（半分） ４～５皿分
酒 大さじ1
玉葱 小1個
牛乳 １５０ｃｃ
人参 5ｃｍ（約60～70g）
リンゴ １個
ピザソース 大匙１
水 3～3.5　カップ
リンゴ 1/4コ
中ねぎ １本位
ハム 2枚
きゅうり 好きなだけ
海老 大きめの２０匹
たけのこ 80g
☆酒 大１
ベーコン １枚
ヤクルト 1本
塩こぶ ２０ｇ
トマト缶 一缶（４００ｇ）
たまねぎ １個（中）
小麦粉・水 適宜
新玉葱 中玉１／２
みょうが 1-2個
長いも １０cm（太さにもよる）
きくらげ 1/3袋
●ミニトマト ７個
砂糖 70g
薄力粉 ５０ｇ
生クリーム 200cc
オリーブオイル 適量
★薄力粉 100g
粉ゼラチン 大さじ１
マジックソルト 少々
白ワイン 　　100cc
豚バラ薄切り肉 100g
紫芋粉 １６ｇ
ヨーグルト 大匙3～
濃縮):水 1:4〜5
さとう 大さじ１
●かぼちゃ（皮ごとレンジでチンしてやわらかくする） ４分の１
こんにゃく １枚
卵 ２個
ベーキングパウダー 5g
アサリのむき身 ４５g
ﾍﾞｰｷﾝｸﾞﾊﾟｳﾀﾞｰ 大さじ1/2
すり黒ごま ２５０ｇ
豚ひき肉 20ｇ
☆醤油 大匙１1/2
キャベツ ２枚
ﾓｯﾂｧﾚﾗﾁｰｽﾞ 1つ
玉ねぎ ２個
マヨネーズ 大さじ3強
＊たまねぎ 2分の1
キャベツ 2枚
ほうれん草 4〜5束
薄力粉 大さじ４
卵 2個
ラディッシュ 3～4個
砂糖 大さじ2
ワンタンの皮 8枚
砂糖 １３０ｇ
春キャベツ（ざく切り） ４分の１
砂糖 ７０ｇ
まぐろフレーク味付(缶詰)　小 75g
☆ベーキングパウダー 小さじ１/２
かつおだし(市販品) 4g
オリーブオイル 大さじ2
春キャベツ １／８個
春雨 10グラム
サラミ 中サイズ1本
たまねぎ 1/2個
粉チーズ 適量
フライドオニオン 少々（仕上げ用）
残りご飯 お茶碗軽く大盛り１杯
しらたき 2袋 !
氷 ５０グラムくらい
じゃがいも 中０4個ほど
キャベツ（千切り） １／４個分
ハム ３枚程度
コーラ 500㍉㍑
豚うす切り 120ｸﾞﾗﾑ
干し大根（切り干し等） 15ｇ
塩 小さじ１/２
●黒豆の煮汁 ３５０ｍｌ（２合分）
杏仁霜 25g
ホタテ貝柱缶 小１缶
ブラックタイガー ５～６尾
ドライイースト 小さじ2
さとう１ ３０ｇ
米 3合
ベーコン ４枚
めんつゆ 大さじ２
キャベツ 2〜3枚
白玉粉 80g
長芋 100g
にら 一袋の半分
わらび 200g
砂糖 小さじ３
人参 １／２本
カニカマ（赤部分） １個分
ショウガのしぼり汁 小さじ1杯半
ベーコン 5枚(ハーフサイズ)
★ワインビネガー 大さじ2
白菜 1/4カット
さつま芋 小１個
100％りんごジュース コップ半分
アボカド １ヶ
わかめ 30g
ジャム（お好みのもの） 適量
鶏肉 一枚
キュウリ １本
新玉葱(玉葱） 中2分の1
鰹ダシ 適量
大根 ３センチ程度
(Ａ)卵白 20ｇ
ピーナッツ（味付けでもバタピーでも可） 大さじ４
ぬか ひとつかみ
ゆでたけのこ 中1本
グラニュー糖 ３０g
・溶き卵（Ｌ） １個
しめじ １袋
カイワレ大根 1/2パック
バター １５ｇ
トマト（小さいものを使いました） ４個
ツナ缶詰 １缶
ピーマン 10g
※　玉ねぎ 1/2個
細切りピーマン ２個
カットトマト缶 １個
たまご ４個
人参 ２cmぐらい
ハム 二枚
ｸﾞﾗﾆｭｰ糖 140g
☆卵 １個
明太子(薄皮を除く) １腹
梅干 ２コ
塩・コショウ 少々
マヨネーズ 大さじ1
卵（Ｍサイズ） １個
分量をみる 1
キャベツ ２枚
卵白 125g
☆ココアパウダー １０ｇ
ウィンナー（ハム、カニカマなど） 5本くらい
卵 ２個
卵 ３個
◎五目ちらしの素 １袋（２人前）
★豚挽肉 250g
玉ねぎ ２分の１個
ツナ缶（オイルフリー） 1缶
お好みのカップスープ 一袋
きくらげ 3枚
玉ねぎ 中サイズ1/2個
ニンニク １カケラ
プレーンヨーグルト 大さじ3
ごま油 大さじ３
オクラ 4本
豚肉（ベーコン・ハム・ウインナーなどでも可） 100ｇ
キムチ 適量
グラニュー糖 ２０ｇ
エリンギ ２本
カットトマト缶 1/2缶
鮭ソフトふりかけ まぶす程度
きくらげ 3枚
新玉ねぎ 小２個
豚三枚肉（茹でて短冊切り） 60g
②豆 乳 200cc
☆卵 2個
醤油 大さじ１
白だし 60ml
黒豆 90グラム
にんにく（すりおろす） 1かけ
きゅうり 1/2本
砂糖 30g
梅干し １個(小さめ）
●卵 １個
水 60g
さつまいも １本
コンニャク １／２枚
鶏肉 好きなだけ
生ハム ６枚
鶏もも １５０ｇ
マーガリン 適量
卵 1個
砂糖 70g
タラの切り身 2枚
薄力粉（ドルチェ） ５０ｇ
☆雪印　クリームチーズ 大さじ２
たけのこ（水煮） 100g
冷たい水 １カップ弱
タマネギ １個
いんげん １袋　（今回は２０本入）
★ みりん １００ｃｃ
無塩バター １２５ｇ
きび砂糖 大さじ3
パルメザンチーズ 20g
水 50cc
茹で・蒸し黒豆 大さじ２弱（20ｇ～）
きゅうり ちくわの穴に入るだけ
●薄力粉 50g
生おから 100g
梅干 ２～３個
えのき １/2房
たまねぎ 1/2
牛乳 50ｃｃ
粉チーズ 適量
ゆで卵 １個
コーンフレーク 適宜
ベーコン 50ｇ
豚バラ肉スライス（鶏ささみ） １４０ｇ
クリームチーズ ５０ｇ
ニンニク（みじん切り） 少々
砂糖 適量
オクラ ８本
レモン汁 大匙2
醤油 小さじ1
海苔 全型1枚÷2
じゃがいも 中1個
厚揚げ‥（トースターで焼く） ２枚
スパム １缶
ﾊﾁﾐﾂ         大さじ2
ショートニング 30g
砂糖 好きな分
豆乳 100ml
ソーセージまたはウインナー ２～４本
たまねぎ ２個
梅干し（種抜き） 1個
山菜 50～100g
＊薄力粉 25g
シャケ 一口位
レタス（ざく切り） 1/2玉
グラニュー糖Ａ ９０ｇ
雑穀（黒米、もちあわ、アマランサスなど） ５０g
グラニュー糖 １５０ｇ
スライスチーズ お好みで
飲むヨーグルト グラス半分
鶏肉（ささみか胸） 100g程度
明太子 1/2腹
薄力粉 大さじ1
塩こしょう 少々
＊ｱｰﾓﾝﾄﾞﾌﾟｰﾄﾞﾙ 10g
岩塩（塩でもOK） 適量
ゆで卵 ４個
トマト １個
プチトマト（赤・黄色） ８個程
(Мｻｲｽﾞ) ３個
水 たっぷり
スパゲッティ １２０g
強力粉 ２００g
ブロッコリー 1/2株
玉子(Ｌｻｲｽﾞ) ２個
サツマイモ １本
たまねぎ １／８こ
ちくわ 3本
シーチキン（油まで全部） １缶
パルミジャーノレッジャーノ 少量
水 1カップ
薄力粉 １００グラム
ベーコン ４枚
明太子 ３腹
かつお節 一掴み（たっぷり）
バター 8g
ウスターソース １００g
◎玉ねぎ… 1/4個
トマト 中１個
バター(マーガリン) ２０㌘
ターキーの骨殻スープ 大きめのなべに半分以上
ミックスベジタブル 適量
ヨーグルト 適当
ピーマン ３個
＊塩 適量
