■水 500ml
お好みで　橙 1個分の皮と果汁
Ａ）お湯 小さじ1
ドライイースト 2.9㌘(ホームベーカリーについているイースト計量スプーン一杯)
七味唐辛子 少々
豆乳 大さじ１
水 大さじ3
水煮たけのこ 1本
冷凍コーン 30g
★黄身 1個
にんにく 2片
牛乳（仕上げ用） 少々
Aサラダ油 大さじ１
ごま油 少々
☆塩胡椒 適量
＊ケトリング用水 １Ｌ
しいたけ 1個
☆黒胡椒 少量
★牛乳 ５０ｃｃ
ナンプラー（あれば） こさじ２
砂糖 大さじ１／２
卵黄 ２個分
サラダ油 大さじ１/２
●みりん 大さじ2
水 180ｃｃ(180ｇ)
Aしょうゆ 大さじ１
干し海老 大匙2
トレハロース（なくてもOK） 20g（なければ砂糖全量110gにして下さい）
オリーブオイル 大さじ１強
○卵黄 3個分
バニラエッセンス 少々
醤油 大さじ３
卵 1個
☆牛乳 大さじ1
トマト＆ガーリックソース １ビン(330g)
★酒 大さじ2
にんにく １片
つぶした花椒 １０粒
★塩＆こしょう 少々
ポン酢 小さじ1
醤油 適量
 水 １００ml　
水 大匙２
砂糖 大2
豆板醤 大さじ１
じゃがいも 1個
卵 1個
★オレガノ 小さじ1
揚げ玉 適宜
▲塩コショウ 少々
■ 卵白 1個分
パン粉 大さじ１
ごま油 大さじ１
赤唐辛子 ２本
醤油 大さじ２
サラダ油 適量
生姜(チューブ) 小さじ1
●濃口醤油 小2
☆はちみつ 大さじ１
パセリ 小2
★だし汁 50ｃｃ
ごま油 小さじ２
アーモンドパウダー ４０ｇ
バター・ショートニング 各１５g
いりごま 大さじ1
＊顆粒鶏ガラスープ 小さじ1/2
しょうがのみじん切り ２分の１かけ分
塩コショウ お好みで
パン粉 適量
マヨネーズ 大さじ１
○サラダ油（オリーブ油でもＯＫ） 大１
塩こしょう 少々
ナンプラー 小さじ1
イースト 小スプーン１
コンソメ（顆粒） 小さじ１
ドライイースト ＨＢスプーン小１
人参、大根、きゅうり、キャベツなどなど お好きなだけどうぞ～❤
唐辛子 1/3本
ごま油 少量
水 900ｍｌ
◎鶏がらスープ 小さじ１
★みりん ５０ｃｃ
☆醤油 大さじ２
★しょうゆ 大さじ2
○粉末だし 大1～2
牛乳 200ml
塩 大1～1.5
♡椎茸 ２個
トマト水煮缶 １缶
酒 小さじ1
◎水 ２カップ
大葉 8〜10枚
ガーリックパウダー 少々
ラー油 7滴
グラニュー糖 50g
塩・胡椒 適量
塩・胡椒 少々
だし（水＋中華だし大2） カップ4
★酒 大さじ1
ネギ ３cm 
★砂糖 ひとつまみ
塩コショウ 少々
ゆで卵 1個
ウィンナー 1本
胡麻油 適量
にんじん 1/3本
酒、みりん 大匙１
胡麻油 大さじ2
塩・こしょう 適量
■マヨネーズ・ケチャップ 各大さじ３
ポン酢 お好みの量
めんつゆ 大さじ１
★料理酒 大さじ２
◎中華だし 小さじ1
●みりん 大さじ３
ベーキングパウダー 小さじ1/2
★しょうが（チューブ入り） 3センチ位
スライスチーズ １枚
コチュジャン 適量
★韓国粉唐辛子 大さじ１
トマト ３個（くし切りの半分カット）
チョコチップ 40ｇ
缶詰のフルーツなど お好みで
鷹の爪 1本
卵 2個
クミンパウダー 小さじ2
ゆであずき缶 １缶（190ｇ入りでした）
●生姜（みじん切り） １片分
★ケチャップ＆ソース 少々
鶏がらスープの素 小さじ2
□ベーキングパウダー 大さじ１弱
小麦粉 適量
★ベーコン （短い）　6枚
パセリ あれば少々
刻みのり お好きなだけ
ホールトマト １缶（４００ｇ）
水菜 適量
ごま油 少々
すりごま 少々
めんつゆ（3倍濃縮） 大さじ1/2　×2
ワイン 少々
めんつゆ（私は創味のつゆ） 大さじ３
ローリエ １枚
ごま油 大さじ　　１
バター 20g
七味 適量
白ワイン 大さじ2
●はちみつ 大さじ3
もみのり 適量
オリーブ油 大さじ１
醤油 大さじ１/2
サラダオイル 大さじ1/2弱
バター 大さじ１～２
好きな具材　（冷蔵庫のお肉や野菜で！） 好きな量
塩コショウ 少々
粉末鶏がらスープ 少々
★たまねぎ ２分の１個
★鶏がらスープ 50cc
おろししょうが 少々
酒 大さじ２
◎味醂 小匙１
三温糖 大さじ１
醤油 小1
水 350ｃｃ
酒 大さじ１
砂糖 ｔｂｓｐ　1/2杯
塩 少々
☆ナツメグ・オールスパイス(粉末) 各２振り
塩 ０．５グラム
生クルミ カップ1/2
◎お酒 大さじ１
■鷹の爪 1本
◇胡椒 少々
■酢 大匙1
クルミ お好みで
水 140ml
バター 小さじ１+大さじ１
パセリ お好みで
鶏モモ肉 ３００ｇ
にんにく 1かけ
薄力粉 35g
★レーズン 50ｇ
★水 ８０ｍｌ
牛乳 50ｃｃ
長ねぎ 5ｃｍ位
塩 少々
■B/P 小匙　2
☆生クリーム １００ｃｃ
ぬるま湯 ７５cc
チョコチップ 20g
かつお節（なるべく粉） 小さじ２
パルメジャーノレッジャーノ 大さじ１
醤油 少々
ホウレンソウのピューレ 　４０ｃｃ
すりごま 大さじ１
ハム 私は2枚使いました
酒 大さじ１
※もみ洗い用の粗塩 適量
牛乳 ２０ｃｃ
○コンソメ 小さじ1
たまご ３個
水 ３００ml　＋　α
こしょう 少々
卵 １個
生ハム １４０g
ハーブソルト 小さじ２〜３杯
ちくわ 1本
★塩、こしょう 少々
◎味醂 大匙２
氷砂糖 25g
麺つゆ 適量
ほんだし 大さじ１
にんじん(今回は小さめ) ３分の１～２本分くらい
水溶き片栗粉 お好きなとろみで。
バター 大さじ3
○牛乳 大さじ2
薄力粉 小２
揚げ油（日清ベジフルーツオイル） 適量
菜種油（サラダ油） ２０ｇ
○コンソメ顆粒 小匙１
マヨネーズ 大２　お好みで
●ショウガ １片
オリーブオイル(炒め用) 適宜
　　スキムミルク 大さじ1
油 １０００ｇ
塩、こしょう、サラダ油 各適量
エノキ 適量
板ゼラチン 9g　
サラダオイル 大さじ2/3
マギー・ブイヨン 3個
醤油 大さじ1
塩 適宜
一味とうがらし お好みで
オリーブオイル 20cc
みそ 大2
すりごま 大さじ２
コショウ 少々
塩・コショウｔ 適量
＊ごま油 大さじ１
黒豆 好きなだけっ
小麦粉・片栗粉 同分量
片栗粉 大さじ2
　ベリー類 適量
☆しょうゆ 大さじ５
レモン　（りんごにふる用） 適宜
油 適量
塩・こしょう 少々
味醂 大さじ１
白菜 １～２枚
Ａ　ゴマ油 大さじ1/2
塩コショウ 少々
かつお節（なくても） 適量
しょう油 大さじ４
ベーキングパウダー 小さじ1/2
砂糖 小さじ１
小麦粉 少々
醤油 適量
卵(艶だし) 適量
ドライイースト 小スプーン１
☆ﾍﾞｰｷﾝｸﾞﾊﾟｳﾀﾞｰ １ｇ
トマトケチャップ 30g
豆板醤 小さじ1/2
キャベツ 1／4
☆砂糖 大さじ1
サラダ油 適量
＊オリーブオイル 大さじ　２
豆腐 １丁
じゃが芋 1個
●中濃ソース 大さじ1
 - みりん 大さじ１
ヨーグルト 300ｇ
サラダ油 大さじ１
◎マヨネーズ 大匙１と2分の1
ローズマリー 適量（あれば）
しょうが 小さじ1
キューピー具のソース「野菜と胡麻の韓国風ピリ辛ソース」 適量
しょうゆ 大さじ1
めんつゆ 適量
●塩 小１と１／２
胡麻油 適量
ﾚｰｽﾞﾝ 20g
☆一味唐辛子 適量
卵 3個
食紅 ごくわずか
砂糖 大さじ１
卵 １/2個
料理酒 大2
ミントの葉 適宜
オレンジママレード ２０ｇ
油 適量
◆胡椒 少々
◆三ツ矢サイダー ２００ｃｃ
バターかマーガリン（仕上げ用） 少々
砂糖 小さじ１
◇ブランデー 大さじ3
☆抹茶豆乳（紀文） １２０ｍｌ
ソース 大２
無塩バターｏｒオリーブオイル ２０ｇ
※酢 大さじ１
酒 大さじ２
グラニュー糖 50g
きざみパセリ 適量
　★酢 大さじ１
Ａ　醤油 大４
★豆板醤 小さじ1/2
★こいくちしょうゆ 適量
マヨネーズ 少々
ショウガ ひとかけ(小さじ1程度)
★カルダモン ３つ
☆豆乳 30ｃｃ
●長ネギ 5cmくらい
長ネギ 適量
プレーンヨーグルト 大１
※食紅（ピンク） ほんのちょっぴり
砂糖 小さじ1
サラダ油 １０ｇ
★塩 小さじ2/3
玉ねぎ 1/2個
塩・こしょう 少々
生クリーム １２０ml
鶏ｶﾞﾗｽｰﾌﾟの素 大３
粉チーズ お好み
カレー粉 適量
ドライイースト 3ｇ
●ポン酢 大1
塩 ひとつまみ
市販のカレールー 4分の1箱
しいたけ 5個
スライスチーズ 少々
水 ３５０ｍｌ
☆ゴマ油   少量
☆水 大１
〇黒コショウ 少々
粉末パプリカ ７ｇ
＊自然塩 小匙１
コンソメ 小さじ１
ブイヨン 1個
油 適量
無塩バター 28g
水 適量
■ ケチャップ 大さじ6～8
★ほんだし 小１
水 ４０ｃｃ
かまぼこ 2枚
オリーブオイル 適量
マスタード 適量
ホワイトブナシメジ 1/2パック
チキンコンソメ（無添加） 小さじ１
すりゴマ 大匙1
生姜 小ひとかけ
☆醤油 小さじ1
★砂糖 大さじ１
海苔 適量
しょうが（すりおろし） １片分
はんぺん 1枚
レモン汁 大さじ１
だし汁 200ml
▲明太子 大さじ１
三ツ矢サイダー 大さじ２
山椒 小さじ１
砂糖 大さじ1弱
アーモンドスライス 適量
○砂糖 こさじ1
･中華スープの素（顆粒） 中半
赤唐辛子 1 本
塩・こしょう、鶏がらスープの素 適量
にんにく 1片
小麦粉 小さじ２
酒 50ｃｃ
砂糖 ５０グラム
おだし 適量
レモン汁 ５ｍｌくらい
人参 ３０ｇ
ミニトマト ４個
白ワイン 大さじ3
酒 大さじ１
サラダ油 ８０ｃｃ
☆バター☆ ２０グラム
☆おろし生姜 小さじ1
チーズ 適量
レタス 2枚
★砂糖 大さじ2
★輪切り鷹の爪 適量
ドライイースト（耐糖性） ５ｇ
にんにくの芽 ３本
ごま油 小1
水分 １５０ｍｌ
ドライイースト 3g
砂糖 大さじ１
水 100ml
すり下ろし玉葱 大さじ１
☆ごま油 小さじ１／２
牛乳 卵と合わせて80g
オリーブオイル 大１、５
にんにく 少々
●塩胡椒 少々
針しょうが 適量
中華あじ（顆粒） 小さじ１/２
パプリカパウダー（あれば） 少々
牛乳 小さじ2
ケチャップ 大さじ8
塩・こしょう 適量
酢 少々
塩こんぶ お好みで
ｵﾘｰﾌﾞｵｲﾙ 大1
顆粒だし 小さじ2
かつおぶし たっぷり
＊味の素 少々
胡椒 少々
コーンスターチ 大さじ１
水 大さじ2
ハチミツ 大さじ１
ご飯 お茶碗多めに１杯
グラニュー糖 50ｇ
粉チーズ 適量
白ワイン 50CC
醤油 大さじ1
カニカマ 1本
砂糖 大さじ1
味噌 大さじ５～６
水 1/2カップ
酒 小2弱
･小麦粉 大5
昆布つゆ 大さじ３
水 ５０ｃｃ
□醤油 大さじ1
炒め油 適量
ほうれん草 にんじん かぼちゃ サツマイモ 冷凍コーンなど
◆みりん 大さじ1弱
砂糖 大１
油 少量
炒りごま 適量
ラズベリー・ブルーベリーなど 30g
りんご ２分の１個
ドライイースト ＨＢ用スプーン２/３強
玉ねぎ １/２個
揚げ油 適量
イースト 小さじ2
赤ワイン 小さじ2
カツオ節・青海苔 お好みで
☆もちきび 大さじ２
●味噌 大さじ２～２.５
こしょう 少々
片栗粉を溶く水 大さじ１
水 １カップ
ドライイースト 小さじ１
●酒、しょうゆ 大さじ２
アーモンドチョコ 1個
卵黄 1個
ワッフル 一枚
梅干し(私の家は蜂蜜梅でしたが･･･) 2つ
ゴマ油 適量
〇椎茸と人参とこんにゃくを煮ただし汁 ２カップ弱
*つぶあん 100g
牛乳 ３０ｃｃ
バター 少々
卵黄 1個
♦醤油 小さじ1/2〜
酢 大匙1杯
白ごま(擦る) 大さじ1
粉末だし 大さじ１
ゴマ 適宜
大豆（水煮） 1/2缶
ドライフルーツやチョコなど お好みで
パスタのゆで汁 大さじ２
自家製酵母元種 １００グラム
みりん 大匙3杯
酒 大さじ１
★酒 大１
水 40ｃｃ
b 塩 小さじ1杯
砂糖 小さじ1
水 加減をみながら調節
★生姜すりおろし 小さじ1
☆みりん 大さじ１．５
顆粒コンソメ 小1/2
みりん 大１
●砂糖 小さじ２
パネトーネマザー 12ｇ
酒 １８０ｃｃ
溶かしバター ５０ｇ
★酒 少々
強力粉 ２２０グラム
砂糖 小さじ１
A　生クリーム １００　ｃｃ
片栗粉（トロミ用） 大さじ1/2
レモン果汁 グラスの小1を除いた全量
◎マーガリン 大1ぐらい
醤油 大さじ3
○砂糖 大さじ２
小麦粉 100g
塩・こしょう 少々
●　酒 大さじ１と1/2
砂糖 出来れば三温糖 小匙1
水溶き片栗粉 適量
ハチミツ 小さじ１
だし汁 1/2カップ
酒 大2
しょうゆ 大さじ2
油 少量
柚子胡椒 お好みで小さじ１位
温泉たまごもしくは卵黄 1個分
ピザ用チーズ ５０g
●（きび）砂糖 大さじ１
サラダ油 少々
醤油 味を見て薄い時少々
黒こしょう 適量
塩･胡椒 少々
▲醤油 大さじ２弱
キューブチーズ ８個
サラダ油 適量
卵白 M５個
にんにく 1片
片栗粉 大さじ１
バター（ハンバーグ用） 大さじ１～２
塩 少々
※　蜂蜜 大さじ1/2
岩塩 少々
ベーコン ２枚
マヨネーズ ３０ｇ
エリンギ 小さめ１本
青ネギ 適量
ドライイースト 小さじ２
塩・こしょう 適量
レモン ４分の１
A. 醤油 大2
バターｏｒマーガリン ５ｇ
☆ほんだし 小さじ4
B.醤油 大1
牛乳 200cc
ウスターソース 適量
茹で汁 お玉1杯
黒コショウ 適宜
大葉（あれば） ３枚
塩胡椒 少々
すりゴマ（白） 大さじ１
・黒ゴマ 適宜
※ねぎ 1／2本
酒 適量
練り状の中華スープの素 小さじ１～1.5
お好み　七味 少々
市販のミートソース 50cc
砂糖 小さじ２
砂糖 大１
オリーブオイル 適量
めんつゆORだしつゆ 適当
醤油 大２
レモン汁（もしくは酢） 大さじ半分
◆Ａ酒・しょうゆ 各大さじ１
水 330cc
Ｂ片栗粉、水 大さじ１
☆砂糖 ひとつまみ
三温糖 小さじ２
塩コショウ 少々
しょうゆ 大さじ１
固形スープ 1個
塩コショウ お好みで
水 ２００ｍｌ
卵 １個
ごはん 大きめお茶碗2杯分
　・砂糖 大さじ2と1/2
枝豆(冷凍) 皮をむいて１/２カップ
からし ほんの少々（好みで・・・）
かつおぶし 大さじ１
＊納豆添付のたれ＆辛子 一袋ずつ
・水溶き片栗粉 適量
鰹節 適量
●醤油 大匙2
塩 小1/8
☆お好み焼き粉 ３５ｇ
かつお節 少々
粗びき黒コショウ 適量
塩・胡椒 少々
お酒 大さじ１
お砂糖 適当
オクラ ２～４本
えのき 1袋
◎ごま油 大さじ1
卵黄 １個
人参 100ｇ
酒 大2
★砂糖 大さじ1〜2
バニラエッセンス 適量
■ごま油 小1
青のり・かつおぶし 適量
生クリーム 200ｃｃ
◎塩 小さじ1/2
アーモンドパウダー 30㌘
カリフラワー 1/2株
オリーブオイル 大さじ１
オリーブオイル 大さじ2
☆熟味酢(穀物酢で代用可) 小さじ１/２～１弱
・砂糖 小さじ１
バター 適量
砂糖 60g
はちみつ ６ｇ
しょうゆ 大２強
黒胡椒 小さじ1/4～1/2
★料理酒 小さじ２
おろししょうが 大１
薄口醤油 小さじ1～2
ハム　　　など・・・ 2枚
ピザ用チーズ 適量
酒 大さじ1
★顆粒出汁の素（和風） 小さじ1/2
ビスケット等 80g
★みりん 大さじ４
③子持ち昆布 適量
●にんにくすりおろしチューブ ５ｍｍ
☆チューブにんにく 適量
カニカマ 適量
＊にんにく（すりおろし） １カケ
ローズマリー（乾燥でも可）またはローリエ 1枝（小さじ1杯）または１枚
★酢 大1
　砂糖 小さじ２
サラダ油 大さじ1/2
鶏ガラスープ カップ１
コンソメ ２～３個
きぬさや 6個
ごま油 適量
砂糖（辛さを引き出す為） 一つまみ
●マヨネーズ 大3~4
★米酢 １００cc
●醤油 大さじ1
ハム 一枚
キューピー具のソース３種 それぞれ適量
＠卵白 4個分
醤油 適量
塩・こしょう 少々
ホタテの貝柱（小さめの乾燥したやつ） 2粒
あれば生姜 少々
・餡子 大さじ2〜
かつお １パック
B　はちみつ 15g
塩 少々
マヨネーズ 大さじ２
塩コショウ 少々
○牛乳or豆乳or水 90g
卵 1個
砂糖 35ｇ
中濃ソース 大さじ１杯
万能ネギ 10g
＾サワークリーム １２０ｇ
酢 ３０ｃｃ
ごま油（なければサラダ油） 適量
お酒 大さじ1
ごま たっぷり
☆醤油 大さじ３
砂糖 110グラム
☆ウスターソース 大１
揚げ油 適量
タイム お好みで
ローズマリー(お好みで) 小さじ1
ﾍﾞｰｷﾝｸﾞパウダー 小さじ1/2
砂糖 小さじ２
マーガリン 適量
卵 ３こ
卵 1個
卵白Ｌ ３個
牛乳 大匙１・５
コンソメ １/２個
ベーキングパウダー ３ｇ(小１)
塩 少々
お好み焼きソース・ウスターソース 適量
混ぜたいもの 150ｇ
白いりごま 適宜
ピーマン １５０ｇ
●セージ（あれば） 少々
ハム 40ｇ
●サラダエレガンス 小さじ1/2弱
白ごま 小さじ２～３
溶き卵 ４個分
片栗粉 適量
砂糖 大1
生ハム ３枚
マヨネーズ 大さじ１０～好みで
かつおぶし 少々
ラム酒（入れなくてもよい） 大さじ1
水 200cc
鶏ガラ スープまたはスープの素 半カップ（鶏ガラスープ）・スープの素（小さじ１～２）
★酒 大さじ１
顆粒かつおだし 小さじ２
ミックスチーズ 100ｇ
■塩 小匙　1/2
塩 適量
■砂糖 大匙　2
★鶏がらスープ 小さじ１
トマトピューレ 大さじ１
■砂糖 大匙　2
★ソース お好みで
大葉 お好みで
たまご 1/2個
酒 大2
砂糖 50ｇ
☆洋がらし 適宜
白ワイン 適宜（なくてもOK)
塩・こしょう（好きな方はナツメグ） 適量
揚げ油 適量
ラズベリー(冷凍) 50g
＊酒 大さじ２
揚げ油 適量
クルミ 150g
■ 塩コショウ 適量
★水 ３００ｃｃ
醤油 大さじ１
◎小麦粉 適宜
＊練りワサビ 小１（お好みで加減してください）
砂糖 大さじ１
かつおぶし お好みで
オリーブオイル 大さじ2
キムチ 50g
◆オイスターソース 適宜
サラダ油 適量
バターｏｒマーガリン 適量
粉砂糖 60g
砂糖 １２０ｇ
いちごジャム 大さじ３
青ネギ ５～１０ｇくらい
◎レモン絞り汁 大さじ１／２
★レーズン 50ｇ
白ごま お好みで
４、濃口醤油 大さじ１
砂糖 大さじ２
★醤油　（隠し味） 小さじ2
生クリーム 大さじ2～3
水 カップ１
砂糖 大さじ３
コショウ 適量
☆水 １５０ｃｃ
(あれば)バジル等 適量
醤油 小さじ2
生クリ－ム 30cc
味噌 大さじ１
付け合せ（キャベツなどお好みで） 適量
花かつお たっぷり一つまみ
おろし生姜 小さじ１
塩 小さじ１/４
☆醤油 大３
サラダオイル ６９ｇ
塩、こしょう 少々
醤油 大さじ１/２
にんにく 1かけ
塩コショー 少々
コンソメ 1コ
塩・胡椒 少々
砂糖 大さじ２
醤油 大さじ1/2
スパゲティ 人数分
★ドライイチジク（ソフト） ３０ｇ
ごま油 大さじ1
その他ピビンバにする場合はナムル 人数分
砂糖(卵の味付け用) 大さじ1/2
☆　和風だし 大さじ１
生姜 少々
塩コショウ 適量
あんずジャム 少々
酢 大１
●粒マスタード お好みで
かつおぶし 少々
キユーピー 具のソース【野菜と胡麻の韓国風ピリ辛ソース】 適量
顆粒コンソメ 小１
●塩 小匙2分の1
酒 ５０cc
トマトケチャップ 大さじ１
茹で汁 大匙2
※ハム お好きなだけ
●みそ １００ｇ
ツナ 1/2缶
牛乳 適量
みりん 大さじ２
☆豆板醤 小1
片栗粉 適量
白ごま(飾り) 少し
牛乳 ８００ｃｃ
餃子 10個
炒り胡麻 適量
お湯 大さじ3
ごま油 大さじ2分の1
こしょう 適量
水溶き片栗粉 大さじ1杯
◎しょうゆ 大さじ1
酒 大さじ１
●湯 大匙１
ラムホワイト（なくても・・・） 大さじ1
★カレー粉 大さじ1
水菜 適量
★砂糖 ２５グラム
一味唐辛子 少々
●顆粒だし 小さじ１
めんつゆ 小さじ２
葱小口切り 少々
醤油 大1と2分1
ｸﾞﾚｰﾌﾟｼｰﾄﾞｵｲﾙ 30g
ごま油 小匙1/2
☆砂糖 大１
玉ねぎ 1個
中華顆粒だし １０振り
☆顆粒ダシ １P(８ｇ)
◆お酒 大さじ1
水 ２００ｃｃ
■スーヌーピー■ ウズラの卵＆ゴマ＆海苔
（かつおぶし お好みで）
クッキー １００g
水溶き片栗 好みのとろみ分
ピーマン 一個
水 ５００ｃｃ
グラニュー糖  卵白に入れる分 ３０g
海苔 頭の毛
・ピザ用チーズ ４０ｇ
砂糖 適量
　コチュジャン 大さじ１
小麦粉・(とろみ付け用) 大さじ2
ごま 少々
＊みそ 大さじ１．５
マヨネーズ 大さじ４
牛乳 大さじ1
ｳｽﾀｰｿｰｽ ちょろっと
○ぽん酢 適量
☆片栗粉 大さじ１
☆おろしにんにく ５ｃｍほど
いんげん 8本（40ｇ）
醤油 少々
◎水 １００ｃｃ
ごま 適量
鶏ガラスープの素 小さじ１/２
片栗粉 大さじ１強
◎塩 小さじ１杯
ポン酢 適量
マッシュルーム（缶でも良い） 1袋
○醤油 大さじ２杯
砂糖 15g
オリーブオイル 適量
醤油 大さじ７
油(肉を炒める用) 小さじ１
塩・胡椒 適量
Ａごま油 適量
牛乳 100cc
砂糖 大さじ３
砂糖 大さじ３
　・しょうゆ 大さじ1
クレイジーソルト 適量
〇インスタントコーヒー 小匙２（小匙１/４の水で溶く）
牛乳 １カップ
バター 大２
カニカマ ４本
練乳 大さじ1
　・中華スープ 500ｃｃ
長ねぎ 1/2本（斜め切り）
麺の茹で汁 おたま２〜３杯くらい
タイム       大さじ1杯
ﾎﾜｲﾄｸﾗﾝﾁ 適量
海苔 お好みで
塩 2g
○酢 大さじ１
砂糖 大さじ3ぐらい
砂糖 40グラム
梅干し １コ
砂糖 大２
日清ベジフルーツオイル 適量
塩 少々
小麦粉 ８０グラム
万能ネギ 適量
★醤油 大2
★リンゴジャム 20ｇ
◎板チョコ（ブラック／ホワイト） 各1/2枚づつ
ご飯orパン粉 お茶碗１杯分
黒ゴマ 少々(10gくらい)
粉チーズ 適量
水 500cc程度
生クリーム １００ cc
ゴマ お好みで
大根 1/3本
☆みりん 大1/2
●マヨネーズ 小さじ１
サラダ油 適量
塩 お味を〆るため 1つまみ
めんつゆ お好みの量
③蜂蜜 大さじ３～４程度
★水 大2
★コチュジャン 大1
☆水 ４００㏄
砂糖 大さじ１
★生姜 チューブ1cm弱
醤油 大さじ１
水 130cc
コンソメ 適量
みりん（味付け用） 大匙6
水溶き片栗粉 適量
☆マヨネーズ 適量
※ガーリックパウダー（なくても） 適量
ごま 少々
ココア 適量
■酒 大さじ2
すりごま お好きなだけ
●砂糖 40g
むきエビ小（冷凍） 100～150ｇ
◎しょうゆ 大さじ６
無塩発酵バター 100g
牛乳 ～１５０ｃｃ
●水 80ml
くるみ 40ｇ
酒 大さじ２
●おろししょうが 1片分
塩 ０．５グラム
胡椒 ０．５グラム
■ 塩コショウ 適量
●強力粉 100g
■ ピーカン or クルミ (粗く刻んでおく) 50g
＊牛乳 大匙１
オリーブオイル 適量
水 材料のひたひたの半分
すりごま たっぷり
バジル 適量（多め）
人参 適量
★酒 大さじ２
■ 生クリーム 200ml
＊ブラックペッパー 小さじ１/２
プチトマト 4個
こしょう 適量
卵 ２個
しょうゆ 大さじ2
しょう油 大さじ1
◎酒 大匙３
あれば、ゆで卵 4個
ビスケット １２０グラム  
水・みりん・しょうゆ 各大さじ１
無塩バター 20g
＊酒 大1
味噌 おにぎりくらい笑
お酒 大さじ５
揚げ油 適量
ケチャップ 大さじ2
ベーコン 10枚
砂糖 少々
仕上げ用の飾り用の生姜（千切り）や木の芽 適量
一味唐辛子 適量
めんつゆ 大さじ１
オリーブオイル 適量
酒 小さじ１
水 1ｃ半
Ｂ酒 大さじ1強
豆板醤 小さじ１
醤油 大匙3～4（大匙1程残しておいて仕上げで調節してみてね）
鷹の爪 適宜
ごま油 大さじ１
ハチミツ 小さじ１
油 適宜
バニラオイル… 数滴
(豆板醤･ピリ辛にする場合) 小さじ1
水菜 適量
韓国食材四角おでん ３～４枚
めんつゆ 大さじ1
ナツメグ 少々
塩 小さじ4分の1
砂糖 小さじ2位(お好みで)
ナス（中くらいのもの） ２本
もみのり 適宜お好みの量
●醤油 大さじ2
ココアパウダー １８ｇ
　　ちりめんじゃこ 適宜
◯黒砂糖 ６０ｇ
塩 適量
アンチョビチューブ 大さじ１～１半
オリーブオイル 小さじ１
湯 大さじ1
アーモンドスライス お好みでトッピング
●中華味の素 小さじ1
●醤油 大さじ2～3
★砂糖 大２
ベーキングパウダー ５g
中華スープの素 小さじ一杯程度
ポン酢（ごまダレでも！） お好きな分
煎りごま 適宜
しそなど 適量
コンソメ（炒めるときの分） 小さじ1
のり 適宜
オリーブ油 大さじ1
バジル 小匙１/2
塩こしょう 適量
★ラズベリージャム 大匙６
△アマレット（ラム酒でも可） 大さじ1
コチュジャン 小さじ２
塩 小さじ1/2
春雨 30g
（カラメル用）砂糖 大さじ２
ピザ用チーズ 適量
パルメザンチーズ 適量
レモン 適量
キッコーマン丸大豆うすくち醤油 大さじ２，５杯
梅干 1個
りんご酢 大さじ１
コンソメキューブ 2個
みりん・酢 各大さじ２
★チーズ（とけるタイプ） 一握り（好きなだけ）
◎砂糖 大さじ1
水 大さじ１
◆醤油 小匙２
チョコレートクリーム 100ｇぐらい
★醤油 大３
〇卵 １個
☆砂糖 小さじ1
▽水 １カップ
マヨネーズ 好みの量
☆牛乳 大さじ2
片栗粉 大さじ１〜１､５くらい
●にんにく（みじん切り） ひとかけ
ごま油 少々or小さじ１杯
ブルーベリー、イチゴ、マンゴー、ラズベリーなど 適量
醤油 少々
●醤油 少々
にんにく　しょうが　（おろす） 適量
■酒 １００ml
麩 30ｸﾞﾗﾑ
砂糖 小１
水 100cc
☆砂糖 少々
油 適量
塩 少々
パセリ 少量
サラダ油 少し
　◎シロップ 100cc
●ブラックオリーブ（あればｏｋ） ５～６個
豆乳(牛乳) 200ml
カレールゥ 2こ
水 適量
薄力粉 １００ｇ
オリーブオイル 大１
オリーブオイル 大さじ1
ドライイースト 3g
オーガニックココア １５ｇ
レモン汁 少々
ゆで汁 おたま1杯(お好みで調整)
ごま油 少々
オリーブオイル  適量
Ｂ　菜種油（平田産業の菜種油） 40ｇ
②ほうれん草（ざく切り） 1/2束
醤油 小さじ１／２
ドライイースト 小さじ１
　★塩 ひとつまみ
豆板醤 小さじ1〜2
ぬるま湯 １５０㏄くらい
牛乳 大さじ1～2
とろけるチーズ 適量
人参 １本
砂糖 好みで少々
●ナンプラー 小匙１
パセリ 適量
●塩 少々
ポン酢 大さじ２
アーモンドプードル ４０ｇ
小麦粉 大さじ１と１／２
●醤油 大さじ４
■塩 少々
●赤唐辛子（小口切りにする） １本分
とけるチーズ（混ぜ込む用） 50g
パン粉 適宜
◆水 米カップ1.5杯
砂糖 大さじ２
水溶き片栗粉 お好みで
牛乳 約300ml
パルメザンチーズ（ペコリーノ） 大さじ３杯
●トマト水煮缶 1缶
卵1個+牛乳 190g
スプラウト、パセリなど 適宜
◆Ａ味噌 大さじ２
◎酒 大匙１
☆バター １０g
チューブ和からし 3㎝ほど
白菜 一個半
◆↓具の例(野菜はレンチンする) 好きなだけ
にんにく 1かけの半分(みじん切り）
ミックスチーズ（とろけるチーズ） 適量
　　にんにく 1片
牛乳 大さじ３くらい
しょうゆ（減塩醤油使用） 大さじ１
★(ついでに大根も♪) １/２本（輪切り)
砂糖 小さじ４分の１
砂糖 小さじ3～4
にんにく 少々
ゴマ 少々
☆チューブにんにく 小さじ１
A. 牛乳 大1(無ければOK)
こしょう 適量
塩コショウ 少々
醤油 大さじ3
