■酒 40ml
水あめ 大さじ1/2
水 ２００～３００ｃｃ（鍋によって調整、具が浸る程度）
醤油 少し
だし汁（水＋和風だしの素） ３００ｃｃ
バター（あれば無塩）（溶かしバターにする） 50ｇ
醤油 小さじ１／３
EVオリーブオイル（焼く用） 小さじ１
☆はちみつ 大1/2
9）デミグラスソース 100g
鶏ガラスープの素 小1.5
砂糖 大さじ１
☆みりん 大さじ１
◇ごま (指で軽く潰す) 大1〜2
　　　　●ソース 大さじ２
◎ドレンチェリー １０つぶ（約４０ｇ）
●牛乳 １/４カップ
Ｃ・しめじ １／２房
オリーブオイル（炒める時用） 大さじ3
バター ３０グラム
卵 一個
片栗粉またはコーンスターチ 大さじ２～３位
●甜面醤（テンメンジャン） 60ｇ
餃子/シュウマイの皮 約50枚
オリーブオイル 大さじ１
　　ディル ちぎったものを3枚
ウスターソース 大さじ1
味噌ベースの万能甘辛中華ソース（レシピID：1089077） 大さじ１～ 1.５
　　砂糖 大さじ1
小麦粉 適量
　リーフ（ルッコラ、トレビス、エンダイブなど） 適宜
○生クリーム １００ｃｃ
★粗びき胡椒 少々
★粗挽き黒胡椒 少々
揚げ油 適量
生クリーム ２００ｃｃ（１パック）
煮干の粉（なくてもいいです） 小匙１
焼きそば ２玉
オリーブオイル（ソース用） 食べる量に合わせて・１／４カップ位
牛乳 大2
✜酒 大３
さとう 大さじ1
黒コショウ 適量
★砂糖 小さじ１
サニーレタス 3～4枚
ショートニング 15ｇ
チーズ（とろけるチーズでも何でも） 適量
バター（ソテー用） 大さじ1
醤油 大１
お好みのドレッシング（和風やイタリアン） 大さじ８～（お好みで）
鰹節 1つかみ
　砂糖 30ｇ
こしょう 適宜
　　マヨネーズ 大３
出汁（鰹、昆布） お玉２杯
ねぎ 好きなだけ
小麦粉 適宜
塩、コショウ 適量
生クリーム 60ｇ
強力粉 適量
●鶏ガラスープの素 小さじ1と1／2
●酒 大さじ2
ゴマ油 大さじ1/２
★赤ワイン 大さじ１
揚げ油 適量
水菜 １/２把
鶏ガラスープ顆粒★ 小さじ１/２
醤油 適量
牛乳 1カップ
パスタのゆで汁 大３
醤油 小さじ１
みりん 大さじ1
ケチャップ 大４
インスタントドライイースト 2.5ｇ
塩・胡椒 各適量
AΓ　ｺﾝｿﾒ(顆粒) 小２
粉チーズ 10g
醤油 小さじ1
オリーブオイル（あげ油） 適量
☆水 ２カップ
プレーンのコーンフレーク １００～１１０ｇ
しめじ １パック
砂糖 大１
牛乳 1/2ｶｯﾌﾟ
醤油 大さじ2と半分
醤油 大さじ２
※はちみつ  小さじ１
酢・豆板醤 各大さじ1
◆米粉 35ｇ
日本酒（料理酒） 200ｃｃ
・よく冷えた冷たい牛乳 150ｍｌ
イタリアンパセリ 適量
◎ごま油 小１
▲水 ５０ｃｃ
　砂糖 20g
◎塩胡椒 少々
◆ 入り胡麻 大さじ１
★カレー粉 大1.5
◎醤油 小さじ/2
餡子（ジャムなど） 大さじ４～
水 １００ｍｌ
☆小麦粉 大８
イタリアンパセリ 飾り用
○さきイカ 適宜
胡椒 少々
醤油 大さじ1
水 200cc
青ネギ 刻んで最後にトッピング用
ねぎ 1/2本
●顆粒コンソメ 小さじ１/２
トマトケチャップ 大さじ2
◎砂糖 大さじ4
塩コショウ 適量
ごま油 小さじ１
粉末寒天 小さじ2/5
ソース・ケチャップ 大さじ２ずつ
しょうが スライス2枚分くらい
＊片栗粉 大１
ケチャップ 大さじ４
☆ゆで汁 お玉半分
白ゴマ 適宜
プレーンヨーグルト 大さじ１
ﾊﾟﾙﾒｻﾞﾝﾁｰｽﾞ 適量
塩 3g
■胡椒 少々
◎マスタード 小匙１強
牛乳 大2
醤油 小さじ　1
●塩 ひとつまみ
バター ５０グラム
パセリ 　〃
卵 ３個
○卵黄 ２個(照り用に少し残す)
オリーブ油 大さじ１．５
小ネギ 軽く1掴み
Ａ　砂糖 大さじ　２
塩コショウ 少々
ゴマ油 少々
★みりん 大さじ１
ウインナー 3本
こんにゃく 1丁
塩 適量
白だし 大1～2
オリーブオイル 大さじ２
片栗粉（衣用） 適量（小麦粉と同量）
パン粉 適宜
◆豆板醤     大匙１
A）みりん 大さじ2
●砂糖 大さじ１
熱湯 600ｃｃ
苺のコンフィのシロップ 約大さじ２
胡椒 小匙１
酒 大さじ1
○酒            大2
ブロッコリー （カレー用）
＊飾り用コアントロー（なければ水） ジャムの半量
グラニュー糖 １／４カップ（約５０g）
醤油 大さじ１強
ドライイースト 4g
にんにく ひとかけ
☆砂糖 大さじ６
にんにく 2片
醤油 大さじ１
水 100cc
塩コショー 少々
しょうゆ 小さじ１/２
★コンソメ 2個
ピザ用チーズ 適量
サラダ油 小さじ1
☆塩・コショウ 適量
バター １０ｇ
くるみ・レーズン 各 ４５ｇ
鶏ガラスープのもと 小さじ1
◎酢 少々
キャベツ 2枚
ごま油 適量
★砂糖 小1
黒豆 100g前後
　明治ﾁｭｰﾌﾞでｸｯｷﾝｸﾞ　ﾊﾞﾀｰ＆ｵﾘｰﾌﾞｵｲﾙ（ﾊﾞﾀｰ） ５０ｇ
　はちみつ １２ｇ
バター 大さじ1/2
酒 大さじ1
コンソメ １粒
きゅうり 1/2本
★ターメリック 小さじ1/2
めんつゆ（濃縮３～５倍） 1/2カップ
塩コショウ 少々
♠たらこ （1本につき）大さじ1くらい
粗引き胡椒 お好みで
◆にんにく 小さじ１
クリームチーズ 100g
トマトケチャップ 大さじ3～5（好みで加減）
しょうがのすりおろし（お好みで） １かけら分
きぬさや ８個
塩・こしょう 少々
付け合わせにはサラダなど野菜をモリモリ 適量
すりおろしにんにく 1/2片
カシューナッツ 約30g
砂糖 70g
●かぼちゃ １００ｇ
カレー粉 小さじ１
マヨネーズ 適量
しょうゆ 大さじ3
♪粉チーズ 大さじ２
ごま油 適量
醤油 小匙　２
パプリカ 大匙1/2
粉砂糖(無ければグラニュー糖) 30g
ブラックペッパー お好みで適量
岩塩 少々
にんにんのすりおろし 1かけ分
〇塩・胡椒・ナツメグ 適宜
レタス 4枚
バター ２０ｇ
スモークサーモン １－２枚
スライスチーズ 2枚(1枚を4等分) 
酒 大さじ1
b.白ごま お好きなだけ
★塩こしょう 適量
卵 L:1個（60g）
塩・こしょう 適宜
牛乳 １５０ｍｌ
水 大さじ２
めんつゆ （追い鰹４ 倍濃縮） 大さじ２～３
白髪ねぎ等 適量
●たかのつめ 1本
水 ５０ｃｃ
●パン粉 適量
粉唐辛子 おおさじ１
溶かしバター ４０ｇ
酢 大さじ２
七味唐辛子(一味唐辛子) お好みで
酒 大匙３
アマレット（ブランデーでも） ２０ｃｃ
☆長ネギ(みじん切り) 5㎝くらい
★醤油 適量
小麦粉 小さじ1
ブランデーまたはバニラエッセンス お好みで　適量
塩・ｺｼｮｳ 少々
板チョコ 1/2枚
★酒 大さじ2
ジャム 80g
パルメザンチーズ 大さじ２
紫芋粉          大匙　１（小さじ２の水で溶く）
・牛乳 100ｃｃ（200ｃｃ）
砂糖 大１
　　クリームチーズ ５０ｇ
にんじん(千切り) 適量
砂糖 40g
ピザ用チーズ 適量
バニラエッセンス 少々
※マヨネーズ(隠し味) 少々
・こしょう、塩 少々
ケチャップ 大さじ4
ニンニクチップ 大さじ５
☆コンデンスミルク 8g
＊水 大1
水 400～500ml　くらい
茹で湯 １００ｃｃ
生姜 適量
ごま油 適量
ケチャップ 小さじ2
水溶き片栗粉 適量
★明治チューブでクッキング　バター＆オリーブオイルブレンド（無い方はオリーブオイルとバターでｏｋ♡） ５センチ程度（オリーブオイルとバターは各大１）
黒コショウ 適量
エクストラバージンオリーブオイル 大さじ2杯
揚げ油 適量
　★おろしにんにく 小さじ１／２
青のり 適量
★砂糖 小さじ1
塩 適量（～小さじ1/4）
○和風ダシのもと 大さじ１杯
ナッツ ５粒
ドライイースト ３ｇ
コンソメ 大２
★ドライイースト ４ｇ
砂糖 ３０グラム（１１５キロカロリー）
イースト １ｇ
人参 1/2本
砂糖 小２
ざらめ 適量
★市販プチシュー 10個くらい
コンソメ 小さじ１
◆Ａ塩・こしょう 各少々
砂糖 大さじ１/２
レシピＩＤ１０９４３５４ ３６０ｇ
パセリ（飾り用） 少々
ごま 少々
薄力粉 大さじ1
◆ねぎ(微塵切り) ５cm分
塩・胡椒・オリーブ油 適宜
塩 小さじ１
木の芽（あれば） 少々
●水 １３０ｃｃ
＊水 1カップ
キッコーマン「特選 丸大豆しょうゆ」 小さじ1
　●おろししょうが 少々
鶏ムネ肉 200グラム
シナモンパウダー 少々
すりごま 大さじ１
水（粉ゼラチンふやかし用） 30ｇ
温玉 一人１個
●あれば昆布茶 小さじ1/2
イタリアンパセリ 適量
塩、こしょう 少々
☆ケチャップ お好みで
酢 大さじ１
ウインナー 4本
☆マヨネーズ 適宜
酒 大さじ３
塩 適量
コーンスターチ 小さじ１
醤油 大さじ１
キムチ 適宜（お箸２掴み程度）
■塩胡椒 少々
★雪印クリームチーズ 100ｇ（半分ずつ使う）
しそ（お好みで。韓国ではエゴマの葉を使います） ２枚
＊砂糖 小さじ１
水 ４０グラム
ほんだし 小1/2
ローリエ 1枚
クレージーソルト(なければ塩) 少々
☆創味のつゆ 大２
　　■　　しょうが 少量
ウインナー ６本
油 少々
刻みチョコ １００ｇ
◆酒 小１
☆ケチャップ 大さじ３
トマト缶 大さじ２
ベーキングパウダー 小匙1/3
水 ６００ｃｃ
キッコーマン「特選 丸大豆しょうゆ　750ml」 大さじ1
塩・胡椒 少々
粉寒天 小さじ１／４
お酒シロップ用 お酒50ｃｃ、水30ｃｃ、砂糖は大さじ1でも調節してね
白ワイン 50cc
米 ２合
しょう油 小さじ１
あれば、フレッシュバジル ４枚くらい
黒胡椒 適量
＊塩 小1
小麦粉 適量
チョコチップ ６０ｇ
マーガリン １欠片
ドライイースト 3g
マヨネーズ 適量
飾り用サラダ菜 適量
苺（ミキサー等でピューレにしたもの） 120g
塩コショウ 少々
しょうゆ 少々
白ワインビネガー（白ワイン、酒でも◎） 小匙２
ネギ青 3cm
トッピング（パセリ） 少々
バター ５０ｇ
牛乳 小さじ２
醤油 適量
グリーンアスパラガス 2本
あらびきコショウ 適量
粉末だし 小さじ2
ホワイトペッパー 適量
水溶き片栗粉 　大さじ３～４
市販のﾐｰﾄソース 2〜3人前
ピザソース（市販品） １カップ
●豚肉薄切り肉 １００ｇ
塩 二つまみ
木の芽 適宜
◎パルメザンチーズ 適量
はちみつ 大さじ1
ごま油 焼き用
塩 少々
玉ねぎのみじん切り 30ｇ
●蜂蜜 小さじ1
だし ６００～７００ｃｃ
ココアパウダー 3ｇ
春雨 ４０ｇ
木の芽(あれば) 少々
グラニュー糖 ７０g
●板ゼラチン ７ｇ
■砂糖 小さじ1
ゴマ油 小さじ1
☆片栗粉 小１
○砂糖 大２
塩・コショウ 各少々
ｻﾗﾀﾞ油 天板に塗る用
トマト ２個
ドライイースト 4.8g
おろしにんにく 小さじ１／２
製菓用ミルクチョコレート ７０～８０ｇ（お好きなだけ）
☆醤油 小さじ１
御飯 茶碗　大盛り４杯
■鎮江香酢 小さじ1
☆塩 少々
醤油 小さじ１
△醤油 小さじ2
塩・コショウ 適量
■砂糖 小さじ1/2
塩 1g
●カレー粉 小1
酢 大さじ1
キルシュワッサー 大さじ1
薄力粉 適量
◎さとう 大さじ１．５
●みりん 大２
砂糖 大さじ１～１．５
わさび 適量（お好みで）
塩 少々
レモン汁 お好み
＊ウスターソース 大さじ４
グラニュー糖 小さじ１
唐辛子（そのまま） 2本
■お湯（ケトリング用） 適宜
卵 １個
黒コショウ 適量
揚げ油　（揚げる場合）　 適宜
にんにくチューブ 少々
水 1カップ
醤油 少々
豆乳 ２００cc
b.塩こしょう 少々
ﾊﾞﾆﾗｴｯｾﾝｽ 少々
黒胡椒 少々
●セロリ 一本みじん切り
塩 大匙２
白髪ネギ 長ネギ５㎝分
豚バラ ６枚
リングイネ 適量
★片栗粉… 大さじ1
★ごま油 大２
バター １０～１５ｇ
砂糖 ４５ｇ
☆わさび お好みで
水 1200cc
味噌 大さじ3
長ねぎ 1本
◆砂糖 少々～
☆牛乳 ５０ｃｃ
すり下ろしショウガ 大さじ１
★味噌 適量
塩コショウ 少々
みりん 大さじ１
醤油 少し
塩･胡椒 少々
ベーコン(1cm幅) 8枚(60グラム)
チャービル 少々
オリーブオイル 適量
B　・牛乳 1カップ
有塩バター 大さじ１
くるみ(ローストします） 80g
塩・胡椒・小麦粉 適宜
ダシの素 小さじ半
自然塩 小１から２
シナモン ２グラム
小麦粉 適量
塩コショウ 少々
塩・胡椒・粉チーズ 少々
なす 大３
黒ゴマ 大さじ2
■醤油 小さじ1
酢 大さじ1
ケチャップ お好みで
☆三温糖 大さじ1/2
あらびきウインナー 5本
大葉 2枚
★砂糖 小さじ1/2
　酢 大さじ２
▲卵白 ２個分
塩・こしょう 少々
牛乳 160ｇ
ごま油 大さじ２
　レモン汁 小さじ１（6分の1コ分）
レモン汁 大さじ１
卵 1個
お好み焼きソース お好みで使用
国産小麦パン粉 適量
薄口しょうゆ 大匙1
はちみつ 大さじ１
コンソメ 2個
★卵 L1個
みりん 小1
砂糖 ４０ｇ
粗引きこしょう 少々
塩コショウ 少々
チョコチップ 35g
七味 適当
しょうゆ 大さじ1
お好みの具 適量（お好きなだけ）
白だし 大さじ１
ハチミツ 15ｇ
砂糖 ひとつまみ
サラダ油 大匙2
みりん 適量
オリーブオイル 大１
マヨネーズ お好みで
ごま油 小さじ1/2
パスタ 200g
粉糖(仕上げ用) 適量
鶏ガラ 1杯
Ｂ．オイスターソース 小さじ１
サラダ油またはバター 大１～２
ドライイースト 5g
卵 １個
ID1090719・カスタードクリーム 100g
ハーブ（オレガノ・バジル・ローズマリーなど） お好みで
塩、黒コショー 適量
パプリカパウダー 小さじ２
★コショウ 適量
水 ４００ｍｌ
酒 大さじ２
コーミソース 大さじ４
Aにんにく 適量
ｵﾘｰｳﾞｵｲﾙ 適量
グラニュー糖 40g
ラー油 ３滴くらい
ID1090719・カスタードクリーム 100g
コーン・レーズン お好み
○ソース 大さじ1
イタリアンパセリ 適量
□オイスターソース 大さじ１
☆バター（溶かす） 大さじ１
めんつゆ 大さじ３
レーズン（お好みで） 適量
塩鮭 一切れ
しょう油 ５０ｇ
溶けるチーズ １０ｇ
ナンプラー 大さじ１
ケチャップ 大さじ2
油 適量
①ニョクマム 大さじ1
小麦粉 大さじ５
Ａクリームチーズ ３０～５０ｇ（好みで加減）
水 50cc
醤油 適宜
だし汁 ２００ｍｌ
○干し海老 5g程度
☆塩 小さじ１と1/2
酒 大さじ1
ごま油 適量
切れてるバター 1/2個（５ｇ）
☆水 大さじ３
〇白ワイン 大さじ1.5
蜂蜜 小さじ１．５
打ち粉（強力粉） 適量
パセリ（飾り用） お好みで
えのきだけ 1/4
砂糖 小さじ1
●しょう油 大3
コンソメ顆粒 小さじ１/２
しょうゆ 小さじ２
カレールウ ２かけ
●すりおろしショウガ（チューブ） 大さじ２
サラダ油 適量
醤油 大１
酒 大さじ１
カレー粉 小さじ1/2強
ブランデー 大さじ１
ちくわ ２本
味噌 大さじ1.5
卵 ２個
みりん 大さじ１
★コンソメスープの素 大さじ２
★日本酒 大さじ１
生クリーム １００ｃ
ケチャップ 大さじ４
●水 500g
水 50cc
ゴマ油 適量
みりん 小さじ１
ﾁｮｺのﾃｨｱﾗ ★ﾘﾝ★さんのﾚｼﾋﾟお借りしました
みりん 大さじ3
卵 L2個
ケチャップ 適宜
しいたけ 1枚
●醤油 大さじ2
＊レモンジュース（濃縮還元100%） 大2
★醤油 ３０cc
粗引き黒胡椒 適量
水 1/4カップ
★片栗粉 小さじ1/4
☆水 100ｍｌ
みりん 大さじ1
✿しょうが（チューブでもok） 少々
ウスターソース  小匙１／２
胡椒 少々
片栗粉 大さじ１
牛乳 50ｃｃ
キャベツ（ざく切り） １／４個
ラー油 適宜
醤油 小さじ１
水溶き片栗粉 適量
醤油 小さじ1
塩･胡椒（あれば黒胡椒） 適宜
水 大１
☆ほんだし 小さじ2
塩、胡椒 適量
◎しょうゆ 大４
かつお節 ひとつかみ
♪摩り下ろししょうが 小さじ1
☆マヨネーズ 大さじ２
牛乳 １３０ｇ
塩・粗挽き胡椒・あればイタリアンハーブミックス 少々
★みりん 大さじ2
サラダ油 大さじ1
◆Ｃマヨネーズ 大さじ１・１/２
玉ねぎ(みじんぎり) Ⅰ/２玉
★みりん 大さじ1
ピザ用チーズ 大匙２～３
塩コショウ 少々
○プレーンヨーグルト 小さじ2
塩胡椒 適量
★塩こしょう 適量
マヨネーズ 適宜
チリパウダー 小さじ1/2〜1
無塩バター 30ｇ
海老（細かくする） ２０～３０ｇ
★酒 大さじ3
●酒 大２
醤油 隠し味程度に数滴
★顆粒だし 小2分の1
ベーコンやハムなど 適量
片栗粉 小さじ1
とろけるチーズ（シュレッド） ８０ｇ位
しょうが(みじん切り) 小さじ１
◆醤油 大さじ２
EVオリーブオイル 大さじ１
コショウ 少々
生クリーム 200cc
★だし汁 200ｃｃ
☆はちみつ 小さじ1
ポン酢 適量
塩コショウ 少々
◆ごま油 小匙１
生クリーム 90cc
クロ-ブ １かけ
水 カップ1
酢 大さじ３
にんにく 1かけ
粗挽き黒胡椒 たっぷり
ごはん 適量
醤油 少量
※蜂蜜 大１
コップなどの丸い型 二段の場合大･小
※塩コショウ 適量
醤油 60cc(大さじ4)
にんじん 5cmくらい
砂糖 小匙１
生クリーム(お好みで) 大さじ１
玉ねぎ 小1個
バター ２０g
黒胡椒...B 適量
味噌 小さじ１
☆片栗粉 小1/2
塩 適宜
☆みりん 大さじ1
パン粉 適量
◇塩 ひとつまみ
塩 少々
鷹の爪  １本
塩 適宜
塩、コショウ 少々
ニンニク ３かけ
砂糖 大さじ1
●砂糖 大さじ２
小葱(小口切り) １本分
パン粉 少々
│味噌 小さじ１
黒コショウ 少々
塩（パスタを茹でる時） 少々
プレーンヨーグルト 大さじ4
★豆板醤 少々～好きなだけ
ごま油 少々
固形コンソメ １／２個
・卵黄（なくても可） １個
●ごま油 大匙１
味噌・コチュジャン 各大さじ1/2
砂糖 大さじ５
乾燥バジル、クレイジーソルト等 お好みで
塩・こしょう 適量
　●↑だし醤油でなければだしの素 少々
・クリ-ムチ-ズ 適量
小麦粉、タマゴ、パン粉 適量
サラダ油 少々
酢 25cc
◎コチュジャン 小さじ2
とろけるチーズ お好みで少々
オリーブオイル 大さじ２
あらびき胡椒 適量
小麦粉（型用） 少々
小麦粉（ねぎ用） 大さじ１
青海苔 適量
レモン汁 小さじ１
青紫蘇 ハンバーグの個数分
オイスターソース 大2
塩 少々
マヨネーズ 大１
中華だし 小さじ１
水 50cc
干し海老 小匙2
スライスにんにく ２かけら分
チョコチップ お好みで
レモン汁 ティースプーン１杯
醤油 小さじ１
片栗粉 適量
✿マヨネーズ 大さじ２
コンデンスミルク 大１
★挽き肉　または　こま切れ肉をみじん切り ６０ｇ
○パセリのみじん切り 大さじ２～３
ドライマンゴー 大１
●コンソメ 大匙　１
☆生姜 2枚
★塩 小さじ2/3
レーズン 80～100ｇ
△洋風 ナツメグなどのスパイス　適量
砂糖 大さじ３位
レモン果汁 大1
レモンの輪切り(飾り？用) 2枚程度
ドライイースト ４ｇ
好みのスポンジ 直径16cm、14cm、厚さ1，5cm各1枚
〇片栗粉 少々
醤油 小匙１
(辛党)豆板醤 大２〜３
塩 適量
水溶き片栗粉 適量
塩コショウ・油 少々
ケトリング用　砂糖 大さじ２
砂糖 小さじ１/２
あらびき胡椒 好きなだけ
☆ケチャップ 大さじ２
酒 大さじ１
鰹節 適量
マヨネーズ（市販） （お好み量）
ロースハム ２枚
レモン果汁 25ml
揚げ油 適量
干し葡萄 30ｸﾞﾗﾑ
トマト缶 1缶
サラダ油 適量
砂糖 ６０グラム
Aタシダ（韓国の牛ダシ顆粒） 小さじ2
ガーリックパウダー 小さじ1
グラニュー糖 ６０ｇ
パセリ 少々
ニンニク 1片
塩、こしょう 適量
●マヨネーズ 大１
揚げ油 適量
中華だし 小さじ1
クルトン 少々
　★砂糖 大さじ２
しょうゆ 小さじ1
☆ケチャップ 大さじ１
味噌（お好きなもの） 大さじ３
★中濃ソース 100cc
★醤油 大さじ２
粗引き黒胡椒　　　A 少々
木綿豆腐 1丁（300g）
水 170cc
サラダ油 少々
＊オイスターソース 大さじ1
□バター １０ｇ
☆貝柱スープ(無くても大丈夫♪) 小さじ1
チーズ 適量
コンソメキューブ 2個
バター 適量
鶏むね肉 １枚
●砂糖 大２
●マーガリン ３０ｇ
●片栗粉 （指３本で）１つまみ
☆しょうゆ 大さじ１
卵 適量
★さとう 小1/2
卵 2個
塩 少々
☆冷凍コーン 適量
ソース 大１〜２
生姜 1かけ
●ほんだし 小さじ１
にんにくのすりおろし １かけ分
しょうゆ・トマトケチャップ 小2
しょうがのすりおろし 小さじ1
マスタード １０ｇ
ピザソース 適量
中濃ソース 大1/2
★みりん 大1
胡椒 ０．５グラム
にんにく ひとかけ
わけぎ又は浅葱 ３株≒６０ｇ
鰹節 ５g一袋
コンソメ(固形)  1ｺ
※練りからし 1～2cm
薬味ネギ 3、4本
●クミンシード ２ふり
クリームチーズ 好きなだけ（大さじ１～）
☆ごま油 小さじ１
にんにく・生姜のすりおろし 少し
●塩 ひとつまみ
＊ドライイースト 小さじ１弱
レタス 適量
苺ジャム 大匙２
お湯（インスタントコーヒーを溶かす） 大さじ１弱くらい
☆オイスターソース 大さじ1.5
シナモン 少々
塩 3つまみ
豆乳 ２００ｃｃ
かつお節 ミニパック1袋
万能ねぎ ２分の１束
☆唐辛子の粉（あれば） 小１
一味唐辛子 大さじ　１/２
トマト缶 100g
サラダ油 適宜
だし汁(なければ素を溶かしたもの、めんつゆでも可。) 適量。
豆腐 適量
バジル、パセリなど（あれば） 適量
ﾊﾞﾀｰ 小ｽﾌﾟｰﾝ×４
　★醤油 大さじ１
☆苺ジャム １５ｇ
揚げ油 適量
粉ゼラチン 4ｇ
きざみのり（トッピング用） 適量
☆塩・胡椒 それぞれ少々
塩コショウ 少々
Ａブラウンシュガー 大さじ２
酒 大２～３
◎塩 小さじ１・1/2
★砂糖 小さじ1
水 100cc
砂糖 20グラム
いりごま・糸唐辛子（辛くないもの） いろどりに少々
たかの爪 2本
◎牛乳 １００ｃｃ
ブラックオリーブ（スライス） ３～４粒
にんにく １かけ
ごま油  大さじ1
ごま油（お好みで） 小2
☆パセリのみじん切り 少々
味のり 5枚（1ﾊﾟｯｸ）
めんつゆ 大さじ２
フルーツ（季節に応じ何でも） 200g
白ゴマ 適量
　酢 大さじ1
卵 １個
塩 小さじ１／４
ｻﾗﾀﾞ油 大2
△塩 適量
＊醤油 大匙２分の１
　●玉葱(みじん切り) 1/4個分
☆とうがらし 適量
ライトクリーム 240ｍｌ
塩 少々
★ｵｲｽﾀｰｿｰｽ 小さじ1.5
豆乳 70g
塩こしょう 適量
フラックスシード 80cc
卵白 ３個分
●塩 小さじ１/２
顆粒トリガラスープ・砂糖 各大さじ２
卵黄 1こ
○削り鰹 少々
ごま 小さじ２
砂糖 大さじ2
●酢 大匙１
ピーマン（残りものであったら） 少々
ベーキングパウダー 小匙2
わさび 小さじ１/２
入れたいもの(ジャム、シロップ、etc) 適量
にんじん ４cm
水 ２００ｃｃ
黒オリーブ 少々
とろけるチーズ 適量（入れたい分だけ）
　　酢 小2
塩 適量
★マヨネーズ 大さじ1
パン粉 適量
ゼラチン 0.3㌘
醤油 大さじ１
　☆醤油 小さじ１/２
ごま油 少々
★ブラックペッパー 適量
ケチャップ 適量
塩コショウ 少々
とろけるチーズ 一枚
和風だしの素 大さじ1
味の素 少量
大根おろし（軽く絞る） １/２カップ
☆ 水 大さじ２
マヨネーズ 大さじ２強
☆たまねぎ（粗みじん） 中1/8くらい
ミニトマト 2コ
小ねぎ 適量
のり お好みで
中濃ソース 大さじ１
塩胡椒 少々
乾燥よもぎ ７ｇ
薄力粉 60g
ごま油 少々
砂糖 小さじ1
全卵 1個
半熟の目玉焼き ２個
木の芽 10〜15枚
中農ソース 大さじ２
顆粒だしの素 小さじ1
鷹の爪 お好みの量
コーヒーパウダー 適量
マヨネーズ 大さじ１と2分の1
ごま油 大1
タラの芽・フキノトウ・山ウド・長芋 適量
☆ブロッコリー（アスパラ・いんげんなどでも） 40g
強力粉 打ち粉用
◎干ししいたけの戻し汁 適宜
塩コショウ 少々
レモン お好みにより
■豆腐 15g
みりん 大匙１
生クリーム 適量（約４０ｃｃ）
フルーツジャム 適量
どんこ（干ししいたけ） ４つ
砂糖 大さじ４
★砂糖 小さじ2杯
くるみ 適量
バター 大さじ２
卵 1個
☆粉糖 30ｇ
★デコレーション用フルーツ（缶詰め）など 適量
清酒 大さじ１
★ソース 大さじ１
サラダ油 適量
卵 2個
　砂糖 小さじ2
甜面醤 大さじ１
コンソメ 少々
◆炒り胡麻 大匙１〜２
薄口しょうゆ 小さじ1弱
＊みりん 大さじ３
白ごま 多め
塩コショウ お好みの量
片栗粉 大さじ３
☆塩コショウ 少々
パセリ 適量
☆ウスターソース 大さじ2
☆白砂糖 50cc
★サラダ油 大さじ１
生クリーム 50cc
ラー油 お好みで
◆オイスターソース 小さじ１
シナモン、グラニュー糖 適宜
砂糖 40ｇ
卵 1個
（お好みで）お好きなハーブ 適量
塩 適量
◎鶏がらスープ １カップ
C.やさしいお酢 大1
＊中華あじ 小さじ２
☆コンデンスミルク 小さじ１
乾燥ﾊﾟｾﾘ 少々
●ほんだし 小さじ１/２
サラダ油 大さじ１
みりん 大さじ１
ごはん（あたたかいもの） 茶碗1＋1/2杯
ニンニクすりおろし(お好みで) 少々
●酒 大匙２
☆一味唐辛子 適量
○片栗粉 小さじ１
胡桃（かるく潰す） 適量
　　醤油 大さじ1
醤油 小匙１
○オリーブオイル  大さじ２
オリーブオイル 大さじ１
☆豆板醤 小さじ1/2
☆塩 ひとつまみ
生姜 ２０ｇ
ﾆﾝﾆｸ 1/2個
砂糖 大２
餃子の皮 ３０枚ぐらい
おろしニンニク(チューブや瓶の物でOK)...A 適量(たっぷりが美味しい/チューブの場合は5～10cm位)
水溶き片栗粉 大さじ１〜２
コーンスターチ 大さじ２
砂糖 大１
にんにく １かけ
酢 大1
プチトマト 3個
ドライイースト 4g
トマト缶 半分
粒マスタード 小さじ1と1/2
鷹の爪 ２～３本
小麦粉 20g
バター ５g
酒 大1
○チューブニンニク・チューブ生姜 各小指第一関節ぐらい分
酒 大2
　　醤油 大匙１
酒 大1
ごま 当然適量
ラー油 適量（小さじ1程度）
バター 10g
●お酒 大さじ１
バターかサラダ油 小さじ１
☆料理酒 大2
グラニュー糖 大さじ１
しょうが汁 小１弱
粉末和風だしを溶いた水 50ｃｃ
＊衣用　　　小麦粉　卵　パン粉 適量
小麦粉 適量
☆卵 １個
★板ゼラチン ２枚
粗挽き塩コショウ 少々
マヨネーズ・粉わさび・ゴマ 適量
味ポン 適量
バター 少々
豆板醤 少々
仕上げ用パセリ 少々
いちご １０個
粗挽き胡椒 少々
●砂糖 (小さじ1〜)
　Ａ水 大さじ２／３
生クリーム ２００ｃｃ
　ベーキングパウダー 小さじ1/4
練り梅（チューブ） 適量
にんにく １かけ
☆生姜（薄切り） 1かけ分
塩コショウ 適宜
ブラックペッパー 適量
油 適量
しめじ・わかめ・にら・ほうれん草・ツナ、ささみフレーク缶など 適量（多い場合は調味料も少々増やして下さい）
●バジル 適量
ﾌﾚﾝﾁﾄﾞﾚｯｼﾝｸﾞ 適量
片栗粉 大さじ1　+　大さじ1
ハム 円形２枚
手に入れば山椒の葉 お好みで
SBフォンドボー(なくても可) 16g
☆みりん 大さじ１
砂糖 微量
きび砂糖 小匙半分
生クリーム １００ｃｃ
ﾍﾞｰｺﾝ(ｳｨﾝﾅｰでも) 1枚
白ごま 少々
