うどん(ゆで) 2玉
林檎 １/２個
塩 2-3つまみ
☆マヨネーズ 大さじ５
赤ウインナー 50g
小葱 ２本
小葱(三つ葉かかいわれでも) 少々
水 大さじ3
塩 少々
キクラゲ ２ｇ
☆みりん 大さじ２
こんにゃく 少々
■味醂 小さじ1
ゴマ油 適量
★塩 ひとつまみ
醤油 小さじ２
●メープルシロップ 大さじ3
牛乳 大さじ3
バター 10g
バナナ １本
中華麺（温めておく） 4玉
牛乳 150ｃｃ
キャベツ 100g
オリーブ油 小さじ2
胡椒 ０．５グラム
オリーブオイル 適量
◎砂糖 大2
ウスターソース 大さじ１
牛乳 １００ｃｃ
バジル 数枚
ニラ 半束
しょうが にんにくと同じくらいの大きさ
水 約２５０ｃｃ
ﾊﾞﾆﾗｵｲﾙ 少々
●砂糖 小さじ1
バター 適宜
水 ３カップ
にんにく １かけ
だしの素 大さじ１
　卵 30g
マヨネーズ 適量
ソース 大さじ4
マーガリン ２０ｇ
こんにゃく 半分
○レーズン 大2
バター お好みで
水 １/２カップ
にんにく みじんきり１かけ
コショウ 少々
・醤油 大さじ1
塩・こしょう 少々
ツナ缶 1缶
塩コショウ 少々
コーン 適量
☆テンメンジャン 大さじ４
むきえび 100g
塩・胡椒 適宜
紅しょうが お好み
牛乳 100ml
塩 少々
マヨネーズ 大１
ピーマン 2個
●無糖うヨーグルト又はレモン汁 適量
◎インスタントコーヒー 小さじ1/4～1/2
砂糖 大さじ４～５
サラダ油 大1/2
ニンニク １カケ
薄力粉（衣用） 大さじ３
＊糸切り唐辛子 お好みで
┃料理酒 大１
片栗粉 大さじ１
白ゴマ 適量
○コンソメ（固形スープの素） １個
●醤油 大さじ１
ベーコン（ハーフサイズ） 1枚
★お吸い物の素（まつたけ味） ２袋
ショウガ 1欠片
☆にら ８本ぐらい
Ａ生姜（みじん切り） お好みで
みりん 大さじ２
酒 大さじ２
えのき茸 １パック
はちみつ たっぷり
☆おろしにんにく １カケ分
塩・コショウ 少々
オリーブオイル 適量
にんにく 1かけ
砂糖 ５０g
たけのこ １５０ｇ
揚げ油 適量
砂糖 80グラム
●にんにく 2片
塩 味を見ながら適量
☆塩 適宜
水 適量
卵         Ａ ２５ｇ
鰹だし 3/2袋
はちみつ 大さじ１
サラダ油 50g
D 塩　こしょう 少々
★赤ワイン ５０ｃ
とろけるチーズ 適量
★塩 小さじ１
★カレールー（市販） 約15ｇ弱
バルサミコ酢 大さじ２
七味 お好み
卵白 １個
ブラックペッパー 少々
●塩 少々
○薄力粉 120g
塩 少々
●リケン　素材力　かつおだし 1本
ポッカレモン 大さじ１
◆豆板醤（なければ七味でもOK） 小さじ1/2（お好みで増減）
ナンプラー 小さじ1.5杯くらい
いりごま 大１
▽抹茶 10g
塩コショウ お好みで！(無しでもOK！)
パン粉 大さじ３
固形コンソメスープの素 １個
生ｸﾘｰﾑ 80cc
●みりん 大さじ1杯半
しょうが　（みじん切り） 1片
ブラックペッパー お好みで
キャラメルクリーム 100グラム
サラダ油 適宜
しょう油 　　〃
○塩コショウ 小さじ1/3
＊料理酒 100cc
砂糖 小1/3
ホットケーキミックス ２００ｇ
醤油 大さじ1/2
★水 ５０cc
ウスターソース 小さじ２
砂糖 大さじ1と1/2
醤油 小さじ1/2
玉ねぎ 小2個（200g）
オリーブオイル 大さじ２
牛乳 ５００ｍｌ
しょうが（すりおろし） 大さじ1
片栗粉 適量（豚肉にまぶす分）
パン粉 適量
✿酒 大さじ１
カレー粉     適量（お好みで）
韓国醤油（なければ日本の醤油） 小さじ１
鷹の爪 1本
みりん 大さじ１．５
オリーブ油 大2/1
カットトマト缶 １缶
☆三温糖（砂糖、はちみつ可） おおさじ1
きゅうりの千切り(器に敷く) １本分
砂糖 大さじ１
豆乳 １５０ｃｃ
塩・こしょう 少々
●砂糖 大さじ2
水 100ｃｃ
塩こしょう 適量
紹興酒（または酒） 大さじ４
水菜 2株
生クリーム １００ｃｃ
お好みのドレッシング 適量
●砂糖 大さじ１杯半
ピザ用チーズ 適量
しょう油 大さじ１
ほんだし 小さじ１弱
とろけるチーズｏｒ（ピザチーズ） １枚ｏｒ（適量）
☆砂糖（はちみつ可） おおさじ2
バター 大さじ1/2
めんつゆ 30g
牛乳 ２２５ｇ～２５０ｇ
レモン入りEXオリーブオイル 大さじ4
しめじ １袋
シナモン 小さじ1/2
スライスチーズ １枚
○大根おろし（ハンバーグ１個分） 大さじ３
大根 1/3本
♪酢 小さじ1
お好みの具材 適量
ごま油 適量
エリンギ １本
塩、コショウ 少々
塩 少々
砂糖 20ｇ
練乳 ２０ｇ
クッキングシート 適宜
枝豆 数個
大葉 ５枚
水 ４００ＣＣ
プレーンヨーグルト 50g
(B)しょう油 大さじ2杯
長ネギ 1/2本
☆しょうゆ 大さじ4〜5
◆Ａ塩・こしょう 各少々
ぬるま湯(40℃くらい) 120ｃｃ
☆七味トウガラシ 少々（なくても可）
赤唐辛子 2本
ニンニク（チューブ使用） ２ｃｍ程度
●砂糖 大さじ1
オリーブ油 10g
豚ミンチ肉 50g
片栗粉（炒め用） 大さじ1
スキムミルク 大さじ3杯
水 500～600ｃｃ
└鶏がらスープの素 小さじ１/２
★めんつゆ 適量（大さじ６～）
（あれば）粉砂糖 適宜
パン粉 大さじ２
★水 200cc
※上白糖の場合※ 30～35ｇ
にんにく(おろしでもみじんでも) 1かけ
グラニュー糖 100g
梅 適量
☆水 120cc
酒、醤油、ごま油、ラード 各大さじ１
ゴマ・糸唐辛子（仕上げ用） 適量
油揚げ 1枚
マヨネーズ 大さじ1
★醤油 大４
塩コショウ 適量
★砂糖 小さじ1
トッピングソルト 適量
七味唐辛子 適宜
かぼちゃパウダー 小さじ１強
バジル お好きなだけ
パスタ ３００グラム
にんじん 半分
餃子の皮 １５枚
◎卵 １個
料理酒 大さじ2
お揚げ いなり４つ分
◆レモンバームの葉（生） 1枚
☆塩 4ｇ
薄口しょう油 小さじ ２
卵 1.5個
牛乳 ５０ｇ
たけのこ 100g
グラニュー糖or砂糖 40㌘
白ワイン 大さじ2
ベーキングパウダー 小さじ１
★マヨネーズ 大さじ１
☆粗引きマスタード 大さじ1
みりん　または酒 大さじ１～２
●塩コショウ 適量
みそ 大１
＊キムチ 適量
●みりん 大さじ１
しょうゆ 小さじ１強
◆(白)擦り胡麻 大匙１
バター 50g
レ-ズン １つかみ
●しょうゆ 大さじ２
●酒 大さじ３
しょうゆ 大さじ3
夏みかん １個
玉ねぎ 1個
☆白だし 大4
☆飾り☆　ﾐﾆﾄﾏﾄや茹ﾌﾞﾛｯｺﾘｰ、型抜きﾆﾝｼﾞﾝ お好みで
オリーブオイル 小さじ１
パスタ 2人分
みりん  大さじ1/2
あれば　スナップエンドウ お好みで
卵 1個
コンソメ １個
アーモンドオイル又はバニラオイル 数滴
市販のチョコペン １個
☆はちみつ（なければ砂糖） 大さじ1
酒 220ml
塩 ひとつまみ
ほうれん草（葉野菜ならなんでもOK!） 1束
卵 １個
水 大さじ1
サラダ油 大さじ１
グラニュー糖(2) ７５ｇ
茹で鳥ID :1094702 適量
★塩 ひとつまみ
バニラエッセンス 数滴
☆ごま（無しでも可） ２０ｇ
卵黄...B 1個
砂糖 小さじ１
●甜菜糖 小さじ2
水 170CC
水 125 ml
スプラウト 適宜
オリーブオイル 大さじ２
☆しょうゆ 大2
化学調味料 少々
ニンニク 1かけ
☆砂糖 小さじ1/3～1/2弱
ウインナー（ベーコン） １袋（適量）
☆砂糖 大さじ3と1/2
★キッコーマン特選丸大豆しょうゆ 大匙２
片栗粉 適量
◆キッコーマン「特選 丸大豆しょうゆ　750ml」 大さじ2
マヨネーズ 大さじ3
◇にんにく(すりおろし）チューブでも◎ 小さじ1と1/2
マヨネーズ 大さじ６
ケチャップ 小2
◇みりん 大1
大根 １/８本
味の素（あれば） ひとつまみ
○卵 1個
サラダ油orオリーブオイル 適量
ハクサイ たっぷり
クリームチーズ ２０ｇ
酒 大1/2弱
グラニュー糖 20g～25g（調節）
パン粉 大匙3
●ラー油 ５～６滴
とき卵 １こぶん
★しょうゆ 大さじ1/2
油 大さじ1
・フレーク（無糖） １５ｇ
水 ２００ｃｃくらい
★片栗粉 大さじ1
コチュジャン 小さじ１/２
コンソメ 小さじ１
ごま油  大さじ１/２
食べるラー油 適量
バニラエッセンス ２滴（なくてもＯＫ）
たまねぎ 1／2個
小麦粉 大さじ4
お好みの洋風ドレッシング 適量
昆布茶（顆粒） 小さじ１
オリーブオイル 適量
コショウ 少々
★紹興酒 or 酒 大さじ１
ドレッシング 適量
木の芽 適宜
みりん 50cc
赤唐辛子 みじん切り少々
バター ５ｇ
ミニトマト 2個
牛乳 55cc
・薄力粉 １１０g
●にんにく ２片
砂糖 小さじ1/4
飾りのイタリアンパセリ 少々
しょうゆ 大匙１．５
鶏肉　もも １枚
塩 小1/2
ベーキングパウダー 小さじ１
ハーブ（パセリ／ローズマリー等お好みで） 適量
●みりん 大さじ２くらい
・バタ− ５cm幅
ココナッツミルク(牛乳可) 小さじ３
にんにく(スライス) 1片
塩コショウ 適量
･バター、サラダ油 各適
▲牛乳 小さじ1/2
塩コショウ 少々
塩コショウ 少々
砂糖 大5
★しょうゆ 大さじ１
●パン粉 適量
おしょう油 少々
青ネギ お好みで
★片栗粉 １０ｇ
■ポン酢 大さじ1
☆ブラックオリーブ☆ お好みで
ケチャップ 大さじ１
レモン汁 少々
◎醤油 大さじ1
だしの素（顆粒） 適量
☆生クリーム（なければ牛乳） １／２カップ
唐辛子 ２本
レモン汁 小さじ１
卵黄 １コ
醤油 小さじ２
塩 少々
バナナ（完熟） 2本（正味200ｇ）
●卵 1個
ベーキングパウダー 小さじ1
片栗粉 大さじ1
マヨネーズ 大さじ１
塩・胡椒 少々
塩 少々
　しょうゆ 大さじ２
砂糖（カロリーゼロ） 10ｇ
醤油 大さじ１～２
中華ブイヨン(粉末タイプ) 小さじ1
〇ねりからし 小さじ1/2
梅肉（チューブ） 少々
バター 50ｇ
片栗粉 適量
マヨネーズ １／２カップ
にんにく １かけ
酒 大さじ１
甘酢(我が家の甘酢参考レシピID：1480222） 大さじ３
★みりん 大さじ２
ﾌﾞﾗｯｸﾁｮｺ 50g
粉パプリカ 小匙2
ドライイースト 小さじ１弱
焼き海苔（細かくちぎる） お好みで
★中華あじ(顆粒) 適量
塩コショウ 少々
水 大さじ1と1/2
☆塩 4.5g
あらびき黒こしょう 少々
☆だししょうゆ 小さじ１
ハム（または鮭の切り身） ４０ｇ（1枚）
○しょうゆ 小さじ１
ほんだし 小さじ２
かつおぶし 1つまみ
緑茶パウダー ４ｇ
ドライフルーツ（ラム酒漬け） 100ｇ（お好みで調節してください）
しめじ 半パック
■バター １５グラム
塩 小さじ1/2
☆みりん 小1/2
塩コショウ 適量
ドライイースト 2g
○かつお節 １０ｇ
ポン酢 お好みの量で
塩胡椒 適量
マヨネーズ お好み
ウスターソース 大１
プレーンヨーグルト（水抜き不要） 100cc
○砂糖 大さじ１
塩 ３ｇ
玉ねぎ 大１玉
油（お好みの油で） 少々
☆酒 大さじ1
レモン絞り汁（ポッカ可） ５グラム
☆みりん 大さじ3/4
砂糖 40ｇ
ガーリックパウダー（あれば） お好みで少々
卵 1個
卵 1個
お酢 小さじ1
酒 大さじ２
薄力粉 （１０ｇ）
牛乳 150～170cc
塩・こしょう 少々
★S＆Bの「ローストガーリック」（瓶入スパイス） １瓶
だし醤油 大さじ１
卵黄 １個分
牛乳 大さじ1
砂糖 20g
焼肉のタレ 適量
砂糖 大さじ３
サラダほうれん草 8枚程度
塩コショウ（あら挽き） 適量
山椒の葉 好みの枚数
割り箸 ２．５本
塩（粗塩） 1.5g→サラダなので、塩味強め。　そのままには、1gが〇！？
お醤油 大さじ3
グラニュー糖 大さじ2
▲砂糖 小さじ２
塩・コショウ お好みで
醤油 大さじ1.5
薄力粉 ６０グラム
黒みつ お好きな量
バター ３０ｇ
粗挽きコショウ 少々
●ＥＶオリーブ油 小匙1
◎砂糖 小2
ケチャップ 好きなだけ
グラニュー糖 大さじ1
●生クリーム ２００cc
じゃがいも 2個ぐらい（茹でとく）
水 150cc
〇ケチャップ 大さじ1
☆一味唐辛子 １gくらい
だし粉末 2g
(生姜ﾁｭｰﾌﾞの場合) 大１
とろけるチーズ 好みで
トマトソース １００ｇ
いちごやバナナなどお好きなもの 適宜
長ネギ 1本　みじん切り
塩コショウ お好みで
チーズ 少々
☆パセリ 適量
しょうゆ お好みで
サラダ油 適宜
インスタントドライイースト ３ｇ
大豆の水煮 １００ｇ
薄力粉 大さじ２
スライスチーズ（なければコンソメキューブ半分でも） 2枚
ウェイパー（中華だし） 中1
挽肉（合挽or豚） 100～130ｇ
塩コショー 適量
サラダ油 適量
醤油 適量
だし醤油 適量
ふりかけ お好みで
卵 ２個
さつまいも 3/1本
ポン酢 大さじ１
にんじん 3cm
顆粒だしの素 少々
オリーブオイル  大さじ1程度
海苔 ３枚〜量に応じて
パルメザンチーズ 大さじ3
★塩・ブラックペッパー 適量
塩 少々
■卵 M１個
●人参 1本
生姜 適量
ベーキングパウダー 小さじ２
●マヨネーズ 大さじ２
バニラオイル 少々
バター 500g
ショートニング １８ｇ
＊仕上げ用＊砂糖 適量
梅干し 小２〜３個
粉ゼラチン用の水 大匙２
◆醤油 大匙２
A醤油 大さじ2
白ゴマ 小さじ１
生椎茸 2枚
ピーナッツ 砕いたもの４０g　(15g)
コーンスターチ 大さじ２
水 ３００ｃｃ
黄金いか(トッピング用) お好み
砂糖 大さじ１．５～
エリンギ 1本
とろけるチーズ ５０ｇ
●醤油 大１
◎クレイジーソルト 少々
★水(常温、ポイント参照) 110g
■塩こしょう 少々
砂糖 大さじ1
雪印クリームチーズ 100㌘
お好きなパイ 12個
ﾛｰﾘｴ 1枚
水 寿司用の水分量（炊飯器の寿司のメモリまで入れる）
醤油 小1/2～1
みりん 大さじ1
オリーブオイル  大さじ2
ガーリックチップス お好みで少々
みりん 大さじ４
ドライバジル 適量
卵 １ｺ
☆醤油 少々
★醤油 大さじ１
薄揚げ １枚
☆ナツメグ 適量
★塩・こしょう 少々
ニンニクすりおろしチューブ（お好みで） 1cm位
玉ネギ(小) 1/4個
水 50cc
☆水 大１
小葱、わさび、白ゴマなど お好みで
☆みりん 大さじ1
ごま油 少々
塩 少々
みりん 大さじ１
粗引きガーリック　Ａ 大匙２
塩・コショウ 適量
ブラックペッパー 適量（あれば）
麺つゆ 適量
すりごま 適量
ドライイースト ３g
回は25枚) お好み量
＊水 1cup
□グラニュー糖 大さじ２
土生姜 １０ｇ
●ネギ(白ネギ、青ネギなんでもok) 4分の1本～半分
バター 30g
塩 ひとつまみ+小さじ1/2
ブラックペッパー お好みで
みりん 大さじ２
カットトマト（缶詰） 200ｇ位（量はお好み）
ご飯 ２合
豆乳 300cc
玉ねぎ 半分
タマネギ ２分の１個
●しょう油 大４
砂糖 大さじ１1/2
☆ドライイースト 小１
●酒 大さじ２
＊片栗粉 大1
にんじん ３ｃｍくらい
☆ウェイパー（味覇） 大さじ１
キャベツ 2枚
玉ねぎ 1/4個
海苔 4枚
鶏がらスープ（顆粒） 大さじ１杯ぐらい
バター 20ｇ
☆お味噌 小さじ1杯半
ニンジン 口ﾊﾞｼ
麺つゆ 適量
☆砂糖 大１弱
ハヤシライスのルー(市販のもの) ２かけ（好みで調節）
こしあん 大さじ２
Ａ　牛乳 大さじ２
胡椒 少々
スライスアーモンド １００グラム
パプリカ（黄、赤） 各1個
味噌 小さじ半分
一味唐辛子 好きなだけ
鷹の爪 １本
ゆでうどん ２玉
塩 大さじ１
オリーブオイル 小さじ1
★ガラスープ 小1/8
●醤油 大さじ1
卵 １個（Ｍサイズ）
塩こしょう 適量
★ウインナー 8本
バニラエッセンス 数滴
★ピーマン 1個
★酒 大2
ねぎ 好きなだけ
鶏がらスープの素 大さじ１
マスタード 小指の半分くらい
塩・こしょう 適量
醤油　　　　　　　　● 大匙１．５
◆だしの素 小匙２
卵黄 １個
のり 適量
ミニトマト（飾り用） ２個
ｽﾗｲｽﾁｰｽﾞ(あれば) 1枚
塩コショウ 少々
☆レモン汁 大さじ２
※しょう油 大さじ1
昆布茶 小さじ1/2
☆醤油 200㏄
バター 少々
★砂糖 大さじ１
☆砂糖 大2～
塩 適量
クリームチーズ 適量
牛乳 ５０～７０ml
★しょうゆ 小さじ1/2くらい
にんじん・みょうが(飾り用) 少々
☆一味唐辛子 少々
※セロリの茎の部分 お好みで入れても美味しいです
鷹の爪 適量
醤油・酒・砂糖・粉唐辛子 各小さじ1/2
ココアパウダー（仕上げ用） 適量
片栗粉 適量
鷹の爪 10本くらい（大さじ１くらい）
スキムミルク 5g
雪印クリームチーズ ４０ｇ
食紅 少々
　　☆みりん 1/4カップ
揚げ油 適宜
ココアパウダー ５ｇ
○水 200cc
もやし・にんじん・ねぎ等 おこのみ
ゆでたタケノコ（水煮使用） 300グラム
卵 1個
熱湯 適宜
マヨネーズ 適量
胡椒 少々
だし汁、または水（※） お玉3杯〜4杯
マヨネーズ 適宜
塩コショウ 少々
みりん 大さじ1
すりごま 大匙３
▼ﾌﾞﾗﾝﾃﾞｰ 10cc
酢 大さじ２
醤油 大1.5～2
コンソメスープ用の水 600ml
★ザーサイ 適量
とろけるチーズ １枚
カレールー 3かけ
●牛乳 大さじ１
しょうゆ 適量
　☆酒 大さじ１
わさび 適量
（ニラやニンジン、白菜など、入れても◎） 適量
○砂糖 大さじ１．５
顆粒だしのもと 大さじ1/2
砂糖 大さじ１
*穀物酢 大さじ2
酒 大さじ２
塩 小さじ２分の１
玉葱みじん切り 中１個
あんこ 好きなだけ
塩コショウ 少々
水 大さじ４　（大さじ２）
みりん 大さじ1
鶏肉 1/2枚程度。
水（ゼラチンを溶かす（ふやかす）分） 適量
焼き海苔 半切1枚
白菜 適量
オリーブオイルまたはサラダ油 適量
醤油 小１
▽ｼﾅﾓﾝﾊﾟｳﾀﾞｰ ２g
こしょう 少々
醤油 大２.5
　★砂糖 大さじ１
すりおろしニンニク 1かけ
オリーブオイル おおさじ　１
〇水 ２８ｃｃ
砂糖 大2
ﾚﾓﾝ汁 ぃっぱぃ
オリーブオイル　  適量
サラダ油 大さじ２
★しょうゆ 小さじ１
砂糖 100ｇ
♥みりん 大さじ１
※スキムミルク 10g
☆酒 大１
卵 2個
焼肉のたれ 大さじ2～3
牛乳 大さじ２
★マヨネーズ 大２
●塩コショウ 少々
片栗粉 適量
かつお節 6グラム
マーガリン 25グラム
バター ６０ｇ
醤油 大さじ　１．５
◆みりん 大さじ１
コンソメ １個
＊粉末和風だしの素 小さじ２分の１
酒 大さじ１．５
ウェイパー 小2
★醤油 大1/2～
ダシの素 小さじ１
★酒 大１
◎小松菜（ほうれん草でも） ４～５株くらい
■砂糖 小さじ1
☆はちみつ 小さじ1/2
鶏肉ミンチ 50g
黒コショウ 適量
醤油 大さじ２
●醤油 小1
豆味噌 大さじ２
コーラ １本
コーン 1/2ｶｯﾌﾟ
塩コショウ 適量
■醤油 小さじ1
パン粉 適量
パン粉 適量
セロリの葉のマヨチーズ和え ５枚分
いりゴマ 少々
牛薄切り肉 １００グラム
★ケチャップ お好みで
青ネギ 適量
レモン 1/2個（汁が大さじ1、表皮が大さじ1/2必要）
◎お揚げみじん 1/2枚分
空豆 8～10粒
牛乳 ８０ｃｃ
みりん 小さじ1
白ゴマ お好みの量
七味や一味 お好み
ベーキングパウダー 小さじ1と1/2
木綿豆腐（水切りしなくていい） ２００グラム
にんにく 小さじ１／２
卵 １個
卵 3個
Ａ：オリーブオイル 大さじ１強
レモン汁 小さじ2
塩 少々
イタリアンパセリ(パセリ） 大さじ1
塩・胡椒 適量
△醤油 小さじ１
＊味噌 大匙３弱
　●コーン缶 大さじ1～2
・レタス 長四角
にんにく １かけ
オリーブオイル 大さじ2
塩胡椒 お好みの味付けで
レタス 葉っぱ1枚
塩 小さじ半分
生クリーム（３５％） 80ｇ
オールブラン（お好きなシリアル） 大匙二
飾りパセリ 少々
塩 適量
○しょうが（すったもの） 1かけら分
粉チーズ 大さじ2
ひまわりの種 10g
ウェイパー 小さじ１強
水 大さじ３
★デミグラスソース（市販） 缶1個　袋1
モラセス(または黒蜜) 大さじ3
塩 少々
白だし（なければダシの素） 小さじ１（少々）
★水 大さじ半分
酢（「やさしいお酢」がおススメ！） 大さじ1
板ゼラチン ４．５ｇ（3枚）
コアントローなどお好みのリキュール 小さじ２
バター ５ｇ
野菜（白菜・水菜・人参・長ネギ・春菊・にら等） 適量
水 大さじ１　＋　１／４カップ
砂糖 30g
◎醤油 大匙１と2分の1
★みりん 大さじ２
特製ドレッシング レシピID :1097666 好きなだけ。
●みりん 大さじ２
冷凍えび 半パック
★豆板醤 小さじ１
しょう油 大さじ2
クルミ 10ｇ
薄口しょうゆ 大さじ3
ベーコン 5枚
●くず粉 １０ｇ
オレンジジュース 大さじ３
水 110cc
●しょう油 大さじ2/3
レモン汁① 大匙1
小ねぎ 適宜
バター 10g
 ゆで小豆など 適量
☆粒こしょう ５・６粒
水 750cc
・蒸しさつま芋（砂糖・蜂蜜で代用可） 30ｇ（砂糖の場合大2～3好み量）
●砂糖 大匙１
ブイヨンキューブ 1個
◎みりん 大さじ１
☆砂糖 100ｇ
醤油 適宜
グリンピース 少々
ぬるま湯 2カップ
●塩 小さじ１
ミント ３枚
　　砂糖 小2
★アーモンドダイスorスライス　※すりゴマでも 大さじ１～３
水 150〜160
◇しょうゆ 小さじ２
ミリン 大2
卵 3個
そうめんつゆ お好みで
●みりん 小さじ１
水 ５００ｃｃ
食べるラー油 お好みで
水 ４５０ｃｃ
マヨネーズ 大２
水 12㌘
☆ゴマ油 少々
粉末カツオだし 小さじ4分の1～
☆鶏モモ肉☆ 300グラム
だし汁＋しいたけ戻し汁 ２４０ｍｌ
片栗粉 適量
バジル あれば
■芝痲醤 小さじ1
七味唐辛子 お好み
★生クリーム 大さじ4
ごはん ３００ｇ（大きめ茶碗２膳）
卵 M1個
＊乾燥わかめ 小さじ1
ラー油 ２～３滴
玉ねぎ 半分
★ブラックペッパー 適量
昆布だしスティック顆粒 １本（５ｇ）
水 適量
豆腐 1丁
牛乳 200cc
片栗粉 適量
☆オリーブオイル 大さじ２
胡椒 少量
マヨネーズ 大1
片栗粉 大さじ２
砂糖 大さじ４
酒・ラー油 各・少々
紫蘇かネギ（あれば） 適当
ブロッコリー・トマト お好きなだけ！
牛乳 大さじ２
スライスチーズ 適量
にんじん（赤の野菜） 好きなだけ
●ｺｼｮｳ 好みの量
☆鰹節 ひとつかみ
水 70g
マヨネーズ 大さじ1強
サラダ油 少々
☆かつおぶし ひとつかみ
レモン汁 大さじ1
みりん 大さじ2
しょうゆ 大さじ１
ニンニクスライス（乾燥も可） ３～５枚
◎わさび １㎝～
バター 20g
バター ２０ｇ
しめじ １袋
ごま油 適量
塩 一つまみ
牛乳 400cc
氷 1個
水 ２３０ｃｃ
卵 15g
緑と赤の付け合せ用の野菜 適量
オリーブオイル 少々
★塩こしょう 少々
醤油 大匙1.5
バナナ ２〜３ｃｍくらい
エバミルク（または生クリーム） 50cc
鷹の爪 ２本
油 適量
シソの葉 お好みの量
たくあん 適宜
あらびき黒コショウ 少々
きざみ海苔 適量
塩 4ｇ
☆醤油 小1/2
卵 高野豆腐300gにつき１個
卵 4個
油揚げ 2枚
＊お湯 大さじ３
塩・こしょう 少々
かつお節 1パック
パセリ 適量
酢飯 １人各１杯
ラム酒又はラムエッセンス 少々
オリーブ油 大さじ２分の1
にんにく ３～４かけ
･お醤油 100ｃｃ
醤油 大さじ1
たまねぎ 一個
みりん 大さじ1
卵 1個
白すりごま 大2
醤油 大１＋大２
いりごま 好きなだけ
生クリーム １パック（２００ｃｃ）
▼醤油 大さじ１
☆砂糖 50g
人参 １／３本
粉砂糖 20g
■塩 10g
●ドライパセリ（あれば） 少々
塩 小匙1/2
パセリ あれば適宜
◎砂糖 大さじ２
醤油 大さじ2
バター 小さじ2
練りゴマ又はﾁｰﾏｰジャン（市販品） 大匙1～１と２分の1
醤油 大さじ2と1/2
卵 ３個
味覇（ウェイパー） 大さじ３
レモン汁 1/2個分(大匙１位)
塩こしょう 少々
◎キムチ 30g
豚肉 適量
スキムミルク 大さじ４
ねぎ 適量
マヨネーズ 大2
しょうゆ 小さじ1/2程度
ドライイースト 2~2.5g
れんこん 10センチ
白ごま 大さじ５
★醤油 大さじ3杯
おろししょうが 適量
にんにく（軽くつぶして） 1片
強力粉 ８０ｇ
プチトマト（つけ合わせ） 適量
小麦粉 適量
塩 少々
オイスターソース 小さじ　1/2
醤油 大匙１
牛乳 大さじ１
ウスターソース 50cc
ドライイースト 4ｇ
マンゴージャム・苺ジャム・マーマレード・杏ジャム 小1
水 1/2カップ
豆乳（又は牛乳など） 120cc～150cc（生地がスプーンで混ぜられる位）
中華炒めの味付けﾚｼﾋﾟ参照 ID1063450
ゴマ油 小さじ１/２
★トマトの水煮缶 １缶
ポン酢 大さじ１
お好きなゴマドレッシング 適量
コーンスターチ 20g
あれば納豆コンブ 大匙１杯
　長ネギ(みじん切り) 10cm
油 大さじ１
だし汁 大さじ２
豆乳 １／２カップ
オクラ １本
☆黒こしょう 少々
中濃ソース 大さじ５
◆塩 小匙1/2
しょうが 1片
砂糖 大さじ２
スキムミルク 8g
鶏もも肉 １枚
お酒 ８０ｃｃ
○砂糖 小匙２
③ジャガイモ １個
砂糖 大さじ２
鶏がらスープの素（顆粒） 小さじ２
☆醤油 小さじ１
★水 ５０ｃｃ
牛乳 大匙１～２
スキムミルク 8g
じゃがいも 2個
塩 小さじ3/4
★みりん 大さじ１
野菜スープ 適量　
塩こしょう 少々
胡椒 少々
水 大１
白こしょう 小さじ１〜２
牛乳 10cc
唐辛子 適量
ホシノ生種（２倍） ２５ｇ
A煎りゴマ 適宜
豆乳(牛乳でも) 160ｇ
卵 1個
スキムミルク 20g
バター ２５ｇ
レモン汁 適量
◎サラダ油 大さじ１
中華の素 大１
タマネギ 1/4個
赤唐辛子 1本
B.塩･粗挽き黒胡椒 各少々
＊コンソメ（粉末） 適量
★しょうが 適量
油 適量
牛乳OR水 150〜200cc(様子を見ながら足していく)
●酒 大さじ２
ゴマ 大さじ2
＊酒 大さじ２
タコ 少々
コショウ 少々
薄口醤油 大さじ２と１／２
塩 少々
塩(あればクレイジーソルト) 適宜
○塩胡椒 しっかりめ
マヨネーズ 大さじ５杯位（お好みで加減してね）
コンソメ（固形） １個
B.醤油 大1/2
☆酢 大さじ2
味噌 大さじ２〜３
クコの実 あれば適量
醤油 大さじ1
　　醤油 大さじ１
油 大さじ１
明治チューブでクッキング　バター＆オリーブオイルブレンド 大匙２
クリームチーズ 150g
たまねぎ 少し
あればオレガノ 少々
黒胡椒 適量
☆醤油 大さじ１
☆おろしにんにく 少量
醤油 大さじ　１と１/２
塩 少々
マヨネーズ 少量
オリーブ油 大さじ2
グレープフルーツ １
片栗粉 適宜
醤油・ごま油☆ 各大さじ１
醤油...A 30cc...大さじ2
◎ベーキングパウダー 1g
みりん 大さじ１
★塩・こしょう 少々
砂糖 ９０ｇ
餃子の皮 １５枚
サラダオイル 大さじ１
マヨネーズ 適量
オリーブ油（またはサラダ油） 適量
醤油 大２
オイスターソース 小１
胡椒 少々
☆醤油 大さじ２
◎マジックソルト 適量
＊ケチャップ：ソース：お好み焼きソース ２：２：１
・酒 大1
バナナ 2本
☆塩 ひとつまみ
コンデンスミルク（練乳） 24g
アスパラ 3本
豆乳 160cc(我が家はｺｰﾋｰ豆乳)
片栗粉 小さじ2
トッピング(青のり・紅しょうがなど) お好みで
リンゴ酢（or酢） 小さじ１
トマト角切り缶 １缶
卵白 2個
胡椒 少々
酒 大さじ2
パセリ  少々
砂糖（うちは三温糖） 大２～３
塩 少々
○料理酒 大２
